week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
1,NaN,NaN,NaN,0.0,0.0,1.0,5.758424294548231
2,2.8964361922436397,0.3898209248397502,7.812572101641906,4720.0,1.150768668,1.0,5.207338707602522
3,2.924113906252909,0.6669893007923136,7.089986083282794,8070.0,0.145500175,2.0,7.804553934508408
4,12.029781554353075,7.898809319624887,17.41113942164502,776100.0,11.469090135,29.0,10.92595704645922
5,1.8124658797887185,1.073760067545006,2.7493075251070347,56237.0,0.832405256,17.0,2.336490927091538
6,2.5291439569078107,1.8323223604855345,3.332040886868486,131567.0,2.219688683,42.0,2.301722885534317
7,1.8123045839646712,1.3163132769904609,2.3949623479035056,162318.0,2.787756967,47.0,1.7601562805907944
8,2.311227340698401,1.851739000441797,2.818376425989252,291707.0,5.289832604,86.0,1.6926659348158424
9,1.8974263922768886,1.5561663099854335,2.2714925382417586,345131.0,6.496758822,106.0,2.2746432622600508
10,4.308769969216091,3.881532514236826,4.74715073163127,1.406007e6,25.819030482,389.0,4.609154614210393
11,1.3680383104912273,1.2050568992347443,1.5342481718318015,910832.0,17.07958221,244.0,1.3874013079169127
1,NaN,NaN,NaN,0.0,0.0,3.0,5.758424294548231
2,1.6019838482002653,0.16127006172147174,4.8706801571382545,5423.0,0.162399363,1.0,5.207338707602522
3,5.044806316719939,2.3000671583201453,8.231013974392036,41276.0,0.560561183,9.0,7.804553934508408
4,11.037865508094763,8.394144538355574,14.092030684692261,1.26665e6,17.833156834,69.0,10.92595704645922
5,1.6109700026190366,1.1676953895699493,2.1001947864828545,126555.0,1.979372904,38.0,2.336490927091538
6,2.4665267257208305,1.9732894021095457,3.002515176279198,313984.0,4.94742144,98.0,2.301722885534317
7,1.6478784084025695,1.3521122098961857,1.9761082049385816,343660.0,6.063339756,99.0,1.7601562805907944
8,1.4479377784641019,1.204114316553437,1.7206243332905626,421529.0,7.537748026,116.0,1.6926659348158424
9,2.287756909444002,2.013185118429794,2.601333304643346,751848.0,13.841409209,233.0,2.2746432622600508
10,4.650799051764022,4.346834439748823,4.9934057911533385,2.945081e6,55.811479669,803.0,4.609154614210393
11,1.3805996066515747,1.2575728482081607,1.5055353609110675,1.696698e6,30.508144295,497.0,1.3874013079169127
1,NaN,NaN,NaN,0.0,0.0,2.0,5.758424294548231
2,3.02311923308121,0.6526801060986225,7.346554745783534,7922.0,0.177654758,2.0,5.207338707602522
3,7.047021118144318,3.878501791286537,11.249049713403082,101654.0,1.453247463,14.0,7.804553934508408
4,10.10312430249347,7.880543478706871,12.788248479513513,1.043995e6,15.37321429,82.0,10.92595704645922
5,1.7721624042558772,1.3215665912080818,2.269781404050741,176004.0,2.744996828,52.0,2.336490927091538
6,2.3020794885408047,1.8959394031953716,2.7659026578257895,356377.0,5.547668347,115.0,2.301722885534317
7,1.7654340090228102,1.4743610816274586,2.0587482284945313,428981.0,7.260583492,131.0,1.7601562805907944
8,1.7830390635397373,1.533498835907915,2.0437453497104374,648598.0,11.516676944,183.0,1.6926659348158424
9,2.3700767241642513,2.122247814509871,2.6174636902398007,1.005922e6,18.034346919,338.0,2.2746432622600508
10,4.778011726364603,4.500587314227348,5.0837434639615,4.424661e6,82.931797468,1193.0,4.609154614210393
