week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
1,NaN,NaN,NaN,0.0,0.0,2.0,4.374834793394483
2,2.058916612568516,0.24919111043661932,5.604158489608882,4711.0,1.097603012,1.0,2.6363378515905804
3,1.5394336912759794,0.1823667606758722,4.583150721427623,5570.0,0.112559727,1.0,5.233940219509083
4,0.7952948121288146,0.013157036112537778,2.784533968103572,4072.0,0.062974268,0.0,0.7725946592431703
5,8.689280311140974,4.754375317470463,14.298274955023444,157985.0,2.90320614,13.0,9.954857564600392
6,19.191453109067787,16.046375783660764,23.26461196172844,3.3431851e7,536.840368602,185.0,16.663707605461628
7,0.2219499284869222,0.11611197067173956,0.3591307625054849,167213.0,3.175647488,11.0,0.1575388145707979
8,0.9653235675364326,0.7668521636667307,1.2016685664612563,311413.0,6.57635405,66.0,1.0042086498354008
9,0.999588864766932,0.7764381123872159,1.2444759631779054,310292.0,6.576030385,66.0,1.0757882216620804
10,2.9646544099234604,2.5749638206732395,3.382111314467659,715078.0,15.476910305,217.0,2.792898161076485
11,0.028698007223067847,0.006402870798994693,0.06808404003192138,318183.0,6.935419292,2.0,0.028802310568901514
1,NaN,NaN,NaN,0.0,0.0,1.0,4.374834793394483
2,3.1483628078328216,0.402561821580387,8.355867019321275,4620.0,0.122891376,1.0,2.6363378515905804
3,2.9461222664642333,0.6147396432874285,7.432895850474608,8126.0,0.111462854,2.0,5.233940219509083
4,2.00851489166337,0.42426168011594856,4.922374794831024,8029.0,0.142938169,2.0,0.7725946592431703
5,11.65336024504331,7.961184709360953,16.072646097982783,855459.0,13.167008933,37.0,9.954857564600392
6,16.544531198515376,14.555390062659667,18.83459306280054,2.993553e7,482.182668047,377.0,16.663707605461628
7,0.14259278016569518,0.08199935048644269,0.22022546866069082,357396.0,6.921133192,15.0,0.1575388145707979
8,0.8901199958792885,0.7466477620796442,1.0495819398345203,608436.0,11.682120855,126.0,1.0042086498354008
9,1.1034070382992764,0.917570284056224,1.298727358658021,637826.0,13.295878109,145.0,1.0757882216620804
10,2.9662924851328603,2.696654270851081,3.2876670637572656,1.283304e6,27.449658844,439.0,2.792898161076485
11,0.03248603903993135,0.01343066616932757,0.06032637187706604,659282.0,13.665016039,6.0,0.028802310568901514
1,NaN,NaN,NaN,0.0,0.0,2.0,4.374834793394483
2,2.961766057619994,0.6153174646508135,7.017498754705457,7671.0,0.142226336,2.0,2.6363378515905804
