week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
1,NaN,NaN,NaN,0.0,0.0,1.0,4.9964672149066125
2,4.281844267413211,0.8458219793804251,10.35076178478072,10180.0,1.270969849,2.0,12.375691501465962
3,1.612653920586647,0.24074530194068353,4.608764118846771,5524.0,0.155887389,1.0,2.0434343532652894
4,6.610373362997884,3.4012030975123393,11.117908703401184,76474.0,1.024728961,12.0,5.238345834787484
5,1.0547890580628967,0.34963518438438107,2.196547483187836,21259.0,0.390228116,4.0,1.3380000429221577
6,1.0116105284875432,0.37565923888777936,1.999433589083851,25526.0,0.463762018,5.0,1.5280155925495036
7,1.9336790921893254,0.9629969906258716,3.21500477053071,34808.0,0.700771678,11.0,1.5268576954175264
8,1.445798277259671,0.7391898785099151,2.388635707553998,38646.0,1.272462717,10.0,1.1469173357087001
9,0.8976181250864363,0.36782495590696984,1.5853107772807873,37512.0,1.142716363,7.0,1.3363981432445342
10,5.926271428083873,4.532463991029239,7.522767944830502,337334.0,8.199438111,68.0,6.805447460990077
11,0.43230415592798394,0.21234323519565446,0.7152905302296325,82568.0,2.066302567,10.0,0.358033804286661
1,NaN,NaN,NaN,0.0,0.0,1.0,4.9964672149066125
2,6.2514380122668864,1.9926301487791864,13.765062098967439,32930.0,0.427113819,4.0,12.375691501465962
3,2.0597344646885927,0.5597615877407399,4.536792313142006,10964.0,0.200018228,3.0,2.0434343532652894
4,5.257324714558247,2.9936480662522524,8.113735027199901,72568.0,1.05150785,17.0,5.238345834787484
5,0.5589553180647558,0.15560373133987807,1.181156300478238,25935.0,0.496310577,3.0,1.3380000429221577
6,2.044973976282971,1.2069795411054067,3.192087026278763,50904.0,1.154696422,16.0,1.5280155925495036
7,1.9709188752113207,1.2097194770056474,2.9173600918002864,66872.0,1.32173021,20.0,1.5268576954175264
8,1.1281384557534704,0.6386397231940217,1.780342329114843,63197.0,1.437510193,15.0,1.1469173357087001
9,1.1934686592422385,0.7155576059130377,1.747589813108488,70820.0,1.877325449,18.0,1.3363981432445342
10,6.299260809048117,5.230091752389587,7.413946797150759,723828.0,16.299468675,140.0,6.805447460990077
11,0.42132124724838227,0.2621657332720368,0.6195909837216573,189581.0,4.428943507,21.0,0.358033804286661
1,NaN,NaN,NaN,0.0,0.0,1.0,4.9964672149066125
2,8.07033271416825,3.2216031074417835,15.844106531024366,82569.0,1.034929191,6.0,12.375691501465962
3,1.6763960247062806,0.4794629699408343,3.5836760818045343,11905.0,0.168826816,3.0,2.0434343532652894
4,4.423707188985339,2.6357621829371936,6.88858228788722,63791.0,1.235874205,17.0,5.238345834787484
5,1.7419596303316414,0.9221134019918978,2.764561999804793,45726.0,0.751423611,13.0,1.3380000429221577
6,2.335054660748432,1.5513142357767375,3.2328296189400203,86009.0,1.651407654,27.0,1.5280155925495036
7,1.11518149556419,0.65922034790819,1.665445950014466,80869.0,1.512859691,18.0,1.5268576954175264
8,1.2636981203003483,0.7942486172454913,1.8100830550511222,95074.0,2.111038426,24.0,1.1469173357087001
9,1.2069907350508495,0.7977681455071742,1.6935168513605767,106244.0,2.529620331,25.0,1.3363981432445342
10,7.287041419197475,6.42930915826361,8.268222070774678,1.555337e6,35.467417698,234.0,6.805447460990077
11,0.43503179992899677,0.2971598135808078,0.5899673339160506,306003.0,7.204899945,35.0,0.358033804286661
1,NaN,NaN,NaN,0.0,0.0,2.0,4.9964672149066125
2,3.8181380192724257,1.059662212442422,8.593955593624573,13052.0,0.203427345,3.0,12.375691501465962
3,2.9706473516129863,1.0836444650085442,5.71776927633684,18108.0,0.274768396,5.0,2.0434343532652894
4,6.111558850255463,3.7435965447643103,9.115216789793076,127490.0,1.957755069,24.0,5.238345834787484
5,2.101234275911695,1.2842463141922509,3.083567665768168,67792.0,1.381007309,21.0,1.3380000429221577
6,1.397822589039889,0.8874020655648993,2.0373905991518964,85495.0,1.643943772,22.0,1.5280155925495036
7,1.5223023145923025,1.0529752488788475,2.1155742163831786,109931.0,2.157612949,30.0,1.5268576954175264
8,1.2472567008559354,0.8390228165755652,1.714557528567913,115777.0,2.692537815,29.0,1.1469173357087001
9,1.0472142812213656,0.6818620679643069,1.455030563644891,122770.0,2.92312639,27.0,1.3363981432445342
10,7.051682924948988,6.179539085814231,7.994256860581556,1.603654e6,36.704093496,270.0,6.805447460990077
11,0.4372088713571709,0.31553191722477686,0.5766382714065742,347871.0,7.996066337,41.0,0.358033804286661
1,NaN,NaN,NaN,0.0,0.0,1.0,4.9964672149066125
2,13.962842614065089,7.506239317369353,22.96565342757048,1.43839e6,18.073355477,15.0,12.375691501465962
3,0.6419071655892838,0.1318157476753965,1.4755037779456248,16613.0,0.245341395,2.0,2.0434343532652894
4,4.535353679585776,3.0561081551467497,6.269314960097666,124554.0,2.215395636,33.0,5.238345834787484
5,1.37950764542499,0.8567939548357573,2.0199448598263876,70703.0,1.15660296,19.0,1.3380000429221577
6,1.5167631198359854,1.0323694067666807,2.09381094070308,102718.0,1.972968448,29.0,1.5280155925495036
7,1.4670646753965182,1.01503769593888,1.9950049173475928,129950.0,2.590984417,34.0,1.5268576954175264
8,1.2978663803567898,0.9172246636064312,1.7640820528650456,146647.0,3.357074767,36.0,1.1469173357087001
