week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI,trueR
9,3.8137306443048056,3.0946956725467065,4.929721557708377,2257.0,0.059050954,59.0,260.0,4.227672078656145
10,0.49937483890922707,0.4045864695819906,0.6264599187389884,530.0,0.024430437,16.0,69.0,0.6461990470163427
11,7.59598356057519,6.982365822679844,8.427660226332403,13814.0,0.547939785,343.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,2.0,6.0,8.654322319140327
2,3.3321166349627056,1.7714108012383334,5.183117230640762,145.0,0.001932056,4.0,9.0,5.03113256374237
3,3.069039243728285,1.5208595062014898,4.572541781318614,385.0,0.00892143,7.0,23.0,4.8414856032725035
4,0.49685814238554926,0.1549733370062968,1.2920329709044018,128.0,0.001461735,1.0,5.0,0.4144404995386519
5,2.4846885249146324,1.4692548213605063,3.7005142669829585,218.0,0.006418148,9.0,35.0,3.082119461021942
6,1.1712760243909333,0.6359212652900283,1.8546442688971405,334.0,0.008452295,6.0,23.0,1.1409759228310004
7,1.3906340850760326,0.9084611460452202,1.6672210660610987,222.0,0.003367892,9.0,37.0,1.7762379124081487
8,4.67168292544578,3.480608925678131,5.763851403972197,1680.0,0.079407678,39.0,128.0,3.4862159769409393
9,3.6762530448879205,2.8546406718588138,4.252524278875434,2592.0,0.138038938,74.0,260.0,4.227672078656145
10,0.4530176537389271,0.30523523871933494,0.6721505140611505,959.0,0.028029039,17.0,69.0,0.6461990470163427
11,8.396102695331738,7.599544741191784,8.965860736646203,47296.0,1.840838631,497.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,3.0,6.0,8.654322319140327
2,2.312781160610668,0.6695520626029533,3.6331935987210997,65.0,0.001278984,2.0,9.0,5.03113256374237
3,3.774380147522841,1.7609449909516384,7.145672998255997,166.0,0.001659772,7.0,23.0,4.8414856032725035
4,0.4645301152485176,0.036042621865560634,1.1477164846377579,163.0,0.001771783,0.0,5.0,0.4144404995386519
5,3.1595585517034914,2.2238990229256053,4.912180702816688,342.0,0.003929239,12.0,35.0,3.082119461021942
6,1.4597982398918905,0.5951664653221094,3.071459235341883,227.0,0.003047987,7.0,23.0,1.1409759228310004
7,2.046016418457987,1.2029490536325027,2.8889689615328584,311.0,0.00458327,13.0,37.0,1.7762379124081487
8,4.87786495076967,4.193587048310943,5.501369524426702,1891.0,0.055836571,52.0,128.0,3.4862159769409393
9,3.8876918069363904,3.3859564818647416,4.5986199455615715,3219.0,0.064651551,105.0,260.0,4.227672078656145
10,0.5819120270157765,0.4779701158647599,0.7850709289919474,2764.0,0.044352794,29.0,69.0,0.6461990470163427
11,8.104547380687626,7.504886045934088,8.703533920984428,62470.0,1.588691543,664.0,1724.0,8.415048943384924
1,NaN,NaN,NaN,0.0,0.0,1.0,6.0,8.654322319140327
2,6.546211634335329,3.7125791065979303,10.172596031602051,175.0,0.002021727,4.0,9.0,5.03113256374237
