week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,2.0
2,2.0711813700871424,0.24313412851765523,5.865889696011105,150329.0,1.906471266,1.0
3,2.8820243683071296,0.7668601433122886,6.476334701438299,220547.0,1.382564587,3.0
4,1.9683805568417,0.5229536144228883,4.382597366977069,165657.0,1.629587983,3.0
5,1.2158603595528539,0.1457595245872838,3.3425970946650065,113819.0,1.253326453,1.0
6,5.235505528645754,2.5637095176614624,8.818615198486212,284505.0,4.619997381,10.0
7,0.5073005006418311,0.061268314861987305,1.4334500665449987,104687.0,1.523399043,1.0
8,0.8307840184498818,0.022947871138626584,2.977326767057328,100001.0,1.943425502,0.0
9,1.8568303299322741,0.23205853105581878,5.04122478780619,105660.0,2.166583823,1.0
10,1.7858580473886994,0.21279400040190052,5.0558866833184615,105164.0,2.716923513,1.0
11,2.3271294523216466,0.4440536385182717,5.944359320107451,108883.0,2.056074088,2.0
