week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,2018-09-22,NaN,NaN,NaN,0.0,0.0,3
2,2018-09-23,7.37199637557391,0.8656359973911906,20.64035783657833,224988.0,0.68109338,1
3,2018-09-24,20.128569347172895,8.32771174421665,36.5371707580688,1.724366e6,3.190684777,8
4,2018-09-25,8.066309174203424,2.7545239355751563,16.830646578554802,203067.0,0.396371313,5
5,2018-09-26,3.5941818610985408,0.9366587087191608,8.259106098023247,128104.0,0.413963692,3
6,2018-09-27,1.95893232865347,0.38626946716266813,4.925313981550654,112028.0,0.365727407,2
7,2018-09-28,1.0347325640097762,0.12539825329491308,2.947981923237171,104514.0,0.719896454,1
8,2018-09-29,2.132973131009325,0.6657128143754276,4.5760728657774505,115281.0,0.41459851,4
9,2018-09-30,2.177203211582331,0.7619127651395836,4.432597671187966,116481.0,0.366737154,5
10,2018-10-01,1.2509362309762173,0.3250447492005248,2.8394818448630086,108070.0,0.45738548,3
11,2018-10-02,0.5543656010091016,0.06751562949820857,1.5840007531669165,102281.0,0.531452827,1
12,2018-10-03,1.4988342810969837,0.47442568047644823,3.1557305971573033,110739.0,0.40893386,4
13,2018-10-04,1.3724730242467085,0.4282112749718856,2.910385192976831,109404.0,0.368914664,4
14,2018-10-05,2.1219064308595352,0.8220398938251237,4.13200601430349,116551.0,0.330790819,6
15,2018-10-06,0.93805345014302,0.18711230278384766,2.3134809703511925,105254.0,0.702743672,2
16,2018-10-07,1.1951689036872184,0.31439329273627287,2.7185693340196115,107798.0,0.399427324,3
17,2018-10-08,1.1287872159019439,0.2996067532463016,2.5433192275726664,107242.0,0.360893595,3
18,2018-10-09,0.7776206409030147,0.1581523981651092,1.9280251796088528,104519.0,0.397370728,2
19,2018-10-10,2.1319536668142045,0.8794775529236128,4.014415772196845,116293.0,0.8218714,7
20,2018-10-11,1.1075550405667118,0.29063705163272774,2.4983337967234025,107053.0,0.37352582,3
21,2018-10-12,1.0835263821504955,0.28199468268635614,2.4468805809192706,106814.0,0.355744773,3
22,2018-10-13,1.2469118804798582,0.3912143877578314,2.6404733749401683,108510.0,0.408202475,4
23,2018-10-14,1.5032844017281306,0.5279571924847016,3.017962827095228,110942.0,0.781729663,5
24,2018-10-15,2.511590983615944,1.1404106064452093,4.489150653091304,120987.0,0.380892789,9
25,2018-10-16,2.066115753556333,0.858676005364841,3.8812335947478966,116224.0,0.359285124,7
26,2018-10-17,0.9304765934077627,0.2458629766164287,2.10417720791308,105886.0,0.447320248,3
27,2018-10-18,1.5162801639445218,0.5911462144771383,2.9116838117202466,111105.0,0.55952042,6
28,2018-10-19,1.409858894111757,0.5503267644444243,2.7138624120347576,110407.0,0.396300195,6
29,2018-10-20,1.4699840102356707,0.6113492719471328,2.7347795212303057,110997.0,0.35606286,7
30,2018-10-21,1.8827354100422011,0.8660127910022551,3.3370729149880756,114742.0,0.31992177,9
31,2018-10-22,0.6983884285918887,0.18866901078918627,1.5476818352192039,104214.0,0.710162289,3
32,2018-10-23,1.1345969363111112,0.44793743565141053,2.1944920444173857,108210.0,0.399574607,6
33,2018-10-24,1.2469742925650784,0.5230384977671045,2.2972418090330993,109160.0,0.354658654,7
34,2018-10-25,1.2112562405597682,0.504346028064005,2.2349770794900667,108955.0,0.417709918,7
35,2018-10-26,0.958418418494313,0.33812030067704146,1.9090094977783323,106729.0,0.666468404,5
36,2018-10-27,0.6432054715021877,0.1749622190936108,1.441654968438184,103891.0,0.386239497,3
37,2018-10-28,1.228913558974288,0.5125124709378616,2.2647730951973637,109060.0,0.387314138,7
38,2018-10-29,1.2267006550457804,0.5121827303457269,2.274283872697314,109274.0,0.363541501,7
39,2018-10-30,0.926349013785699,0.3242893730702593,1.8394453739426941,106488.0,0.693550974,5
40,2018-10-31,0.6322384440867743,0.16774859470489828,1.4186705707777385,103916.0,0.378391963,3
41,2018-11-01,0.6819684884285812,0.18345763687032515,1.528680610937612,104256.0,0.343821874,3
42,2018-11-02,0.6571208698219948,0.1821572104280574,1.4675369614653646,104100.0,0.422391058,3
43,2018-11-03,0.8502157731722063,0.2677511497493514,1.7931353691754097,105718.0,0.771844069,4
44,2018-11-04,1.4710364538998077,0.6126743872609332,2.725795193853373,110978.0,0.395435751,7
45,2018-11-05,1.3718574181836012,0.5316471528131483,2.641362904359992,110141.0,0.353667868,6
46,2018-11-06,1.1843164494570315,0.41984588720265686,2.3836074634702826,108306.0,0.419664975,5
47,2018-11-07,0.5690441176479575,0.11452572448928901,1.4076888027642205,103207.0,0.651496755,2
48,2018-11-08,1.0195495540974555,0.3214736081957874,2.143015453209266,106806.0,0.4008916,4
49,2018-11-09,1.3071759964376826,0.46283010542304465,2.6126676424891233,109401.0,0.397607764,5
50,2018-11-10,1.3255826115673968,0.46691445420516936,2.662582590703828,109364.0,0.364436216,5
51,2018-11-11,0.6398823706764895,0.1282940225054649,1.564014375563522,103565.0,0.705057713,2
52,2018-11-12,0.4151233185977981,0.04731779168248372,1.1861055844325434,101730.0,0.387298434,1
53,2018-11-13,2.843241361383705,1.482562194683192,4.6975301886995116,124360.0,0.392240741,13
54,2018-11-14,1.4006289481619953,0.5415828077598783,2.698757694488357,110245.0,0.682791669,6
55,2018-11-15,1.8763531783713339,0.8271080768757326,3.421419830690226,114727.0,0.342360344,8
56,2018-11-16,1.669913766509512,0.6926446890142575,3.115500276110552,112765.0,0.379616744,7
57,2018-11-17,1.6040541633079761,0.6593696402634521,2.980744405910502,112198.0,0.312127395,7
