week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI
1,NaN,NaN,NaN,0.0,0.0,1
2,4.392643779621653,0.11078144793658597,16.351453665967522,100002.0,0.724950185,0
3,7.38561411112228,0.8581278080315298,20.947883851514188,247062.0,2.721638961,1
4,3.1923295466703627,0.0782222625237971,12.20829120739298,100002.0,0.786173666,0
5,2.9166048689485606,0.07049914534695202,11.182248675047887,100002.0,0.772603251,0
6,2.7175522110092762,0.0647273176193515,10.468074916236056,100002.0,0.817379245,0
7,2.6180461883730604,0.06254212820250106,10.033982670814195,100002.0,0.829882744,0
8,2.5274815717130794,0.059920691748032516,9.659346208763703,100002.0,1.015788528,0
9,2.4869427848060446,0.06057050076334501,9.505857536718823,100002.0,1.068867496,0
10,2.435939964074046,0.059900643332332776,9.3361117845209,100002.0,1.064178064,0
11,2.3979673716345027,0.05533593972058829,9.237497160558181,100002.0,1.003743536,0
12,2.9622067011081032,0.06987393669585289,11.321511479198406,100002.0,0.929331064,0
13,2.927256716304882,0.07216988811147093,11.128560015616637,100002.0,0.967879957,0
14,3.544965776011389,0.08359137250237567,13.842922613730302,100002.0,1.103296248,0
15,3.641354894464961,0.08588052542307997,14.184825128880108,100002.0,0.951300782,0
16,3.7729499816833303,0.08935188384918066,14.759573283595818,100002.0,1.018134986,0
17,3.9687271429808044,0.09173224882912745,15.44155442570593,100002.0,0.970280475,0
18,4.156268099435409,0.09775832836730934,16.06181403396938,100002.0,0.886721126,0
19,4.336215039296224,0.10360137480969334,16.629563189130973,100002.0,0.882610938,0
20,8.855580618681314,1.6573508683899538,22.655081362636608,778704.0,2.4050605,2
21,2.840196359733683,0.06771897213254514,10.865898972793829,100002.0,0.764232592,0
22,2.771813709297659,0.061491889654361025,10.771335792628948,100002.0,0.77722017,0
23,2.6838549849004356,0.06262436875550469,10.340836707583996,100002.0,0.784351586,0
24,2.609306151364876,0.06433852584234905,10.005495259889987,100002.0,0.773651282,0
25,2.5587658187352575,0.06281952986744475,9.808974353527576,100002.0,0.786194276,0
26,2.4943366518358907,0.06507245400052834,9.612346069452931,100002.0,0.78083592,0
27,2.466639339760663,0.06480154252282823,9.504454665648312,100002.0,0.784504563,0
28,2.44974000186691,0.057035748958729315,9.385072567063308,100002.0,0.783074575,0
29,2.4096673010866128,0.05571941180930871,9.140018916283354,100002.0,0.791433254,0
30,2.4248150477618196,0.059123162914993706,9.169100431969445,100002.0,0.783052559,0
31,3.4903312838252782,0.08261691528901868,13.388067929422935,100002.0,0.774209394,0
32,3.5424297115754895,0.08079794672892418,13.983453424114119,100002.0,0.794125656,0
33,3.6460974616285204,0.08195115294720809,14.228309505532716,100002.0,0.778348118,0
34,3.7956077651149487,0.08791691101650403,14.775547577655853,100002.0,0.787694762,0
35,4.0060869725623425,0.0972155134114308,15.677695476506555,100002.0,0.785989956,0
36,4.2188510799405075,0.10000710672974442,16.23854688120206,100002.0,0.777872071,0
37,8.719480803601538,1.6072532748053239,22.5784819197213,634441.0,1.902436537,2
38,2.8032276493763177,0.06887084330935979,10.698056196762574,100002.0,0.761722705,0
39,2.721010409920246,0.06100201710042755,10.602049645323396,100002.0,0.786541608,0
40,2.660341088893056,0.06322886603847916,10.243778748303404,100002.0,0.780001182,0
41,2.613987992450668,0.06363912687084933,10.126818053783117,100002.0,0.783771142,0
42,2.518058834063475,0.05868135305363847,9.71352587184398,100002.0,0.780496694,0
43,2.472392380570966,0.05749563390154222,9.38900392849771,100002.0,0.778639562,0
44,2.4405771857768848,0.06030475243159699,9.380127805029897,100002.0,0.779058504,0
45,2.4066064598287804,0.058816214360700544,9.146436841272207,100002.0,0.779177802,0
46,2.4040831405132552,0.05990488442482622,9.236104502475593,100002.0,0.788325329,0
47,2.3951101232611367,0.05616282117760414,9.11926459755219,100002.0,0.780791892,0
48,3.464603569598095,0.08665392096737119,13.513903412302072,100002.0,0.785085143,0
49,3.5326487237406248,0.08230639204083696,13.641236622344405,100002.0,0.781080815,0
50,3.5891462768244,0.08762461030896562,14.018920048017955,100002.0,0.776523876,0
51,3.7847827710813444,0.08522366601191755,14.837077046644733,100002.0,0.781844564,0
52,3.988069005942136,0.09398162942378184,15.475529976981292,100002.0,0.778680428,0
53,6.1466617870461455,0.6808662945663111,17.936510453161702,294482.0,1.188914867,1
54,3.076292255332235,0.075673655111309,11.739626472685165,100002.0,0.74236968,0
55,3.032398221070075,0.07530878637756251,11.655850721749776,100002.0,0.770017422,0
56,3.036838386551056,0.07187014448508923,11.656212691044066,100002.0,0.771110868,0
57,3.0990812392658693,0.07180280099794441,11.96565622566549,100002.0,0.780812181,0
58,5.805117076827388,0.6440645062430164,17.267578833977275,164430.0,0.916663575,1
59,5.216906895518311,0.5836189368004456,15.533031067379016,146820.0,0.870429835,1
60,2.4373853848772318,0.057489809549070625,9.35410464905009,100002.0,0.755560515,0
61,4.41726714252188,0.4960518986281716,13.13392076257186,132470.0,0.869014144,1
62,2.030356067047098,0.04930284166682007,7.810194147737598,100002.0,0.761916812,0
63,1.9112279808742203,0.04449272366794792,7.309995657742464,100002.0,0.780086919,0
64,2.0569557239849052,0.04734371910939135,7.876359005791791,100002.0,0.776495688,0
65,1.9798467096196797,0.04542975087405623,7.618655247443806,100002.0,0.78048516,0
66,1.9277880045120932,0.046495304684693387,7.417639268421156,100002.0,0.841946856,0
67,3.6678683285083955,0.4093677062779943,10.828180433205803,122925.0,0.829837298,1
68,1.7811365999535924,0.04231931746260917,6.820971993563966,100002.0,0.802192035,0
69,1.9341258931416625,0.043224152863521804,7.516837477043342,100002.0,0.77796462,0
70,2.1724827644316727,0.051225030651833946,8.382594459803846,100002.0,0.787896323,0
71,4.072553729692951,0.45468475897753946,12.304486957114616,127788.0,0.851838177,1
72,2.298717109592176,0.05594453416227169,9.008591170028582,100002.0,0.768919717,0
73,2.2322482408303164,0.055459191080202794,8.67467682266775,100002.0,0.784925583,0
74,2.1940096210401694,0.05040003512636658,8.575305174160036,100002.0,0.77488313,0
75,2.197202400792445,0.051938985728135344,8.60035400690145,100002.0,0.789112699,0
76,2.2119735618063334,0.05450577281085949,8.559829545514692,100002.0,0.786267933,0
77,7.753523394294129,1.8761237249860634,18.73000365536428,212096.0,1.087159491,3
78,2.090996716980572,0.04843739077532532,8.10649461953186,100002.0,0.760837118,0
79,1.9445359858774551,0.04797151807544357,7.493554212222469,100002.0,0.77362047,0
80,1.7997742609105893,0.044585652636538756,6.927407435439766,100002.0,0.77702968,0
81,3.2876162815259704,0.37670524519793475,9.771874533165452,119096.0,0.813065595,1
82,3.3868039539101225,0.3732856045260901,10.046006432684585,120543.0,0.845423765,1
83,1.5685496643538361,0.0364498980816945,6.041224959055796,100002.0,0.763418345,0
84,4.246652609654591,0.7953584907759554,11.02119161383608,133455.0,0.873184969,2
85,3.7426661364072356,0.7227595479261378,9.660585429324792,127791.0,0.840548819,2
86,2.196618822671524,0.2548427865722599,6.418449169864684,110937.0,0.791725774,1
87,1.968178798865402,0.22666334236123378,5.749818318005557,109351.0,0.815619264,1
88,3.249431374507026,0.617881424981972,8.396086632436235,122991.0,0.84383198,2
89,3.6726266361624984,0.9263721124773616,8.63381316894882,129073.0,0.852556295,3
90,3.126787265251072,0.7853897089122236,7.284853372152906,123064.0,0.830402435,3
91,1.984514106343299,0.3910103264110139,5.002353023430509,112518.0,0.813327865,2
92,1.2156451138165805,0.13661654089428985,3.507469916620235,105293.0,0.781443272,1
93,2.7640434629589268,0.8364580535297883,5.9646793939853495,121275.0,0.847004583,4
94,1.4439549319393488,0.28458070688730025,3.618280329306618,108496.0,0.7975019,2
95,2.2987421875702125,0.7089748078153343,4.967364474838298,117093.0,0.834523955,4
96,2.182131941948723,0.6740811127442649,4.690352966625976,115882.0,0.820847274,4
97,1.5763065452584144,0.41554264533632734,3.5897290531767467,110555.0,0.809257574,3
98,2.1256208701242896,0.7426278591853969,4.326076964584838,116248.0,0.828191215,5
99,1.9853728023855122,0.6858470556285895,4.043190663461276,114665.0,0.819919892,5
100,3.1328649805334123,1.4293935099547501,5.625374517968223,126704.0,0.846045752,9
101,1.4499607376905672,0.45927240784299883,3.0629472923276304,110167.0,0.799600511,4
102,2.3229529140955236,1.0139084277444514,4.243798247493581,118644.0,0.837382577,8
103,1.3480136528052702,0.47935455571653734,2.693830781211022,109453.0,0.796104904,5
104,1.0575888959000121,0.33368854748612675,2.221810202749749,107186.0,0.805410683,4
105,0.5757931828092693,0.11449554167322964,1.4085819477948258,103200.0,0.785541973,2
106,0.7500558719315337,0.20337214155327682,1.6810837904139764,104839.0,0.804991609,3
107,0.5518883527949388,0.11231394435666084,1.356889787474855,103166.0,0.786962238,2
108,0.3579897806290787,0.043489067728044194,1.0283482156777346,101515.0,0.796017816,1
109,0.18977676525916137,0.005048530728968204,0.7074285014739802,100002.0,0.77936483,0
110,0.810176748704181,0.2136300050440233,1.8304821544760008,105180.0,0.798734822,3
111,0.24449437928416232,0.006246579001266969,0.9229113325801364,100002.0,0.774210887,0
112,0.5346722741380152,0.06172891441337082,1.5092661462026462,102221.0,0.78874758,1
113,0.6930944106707,0.08205592502196658,2.0024536429843405,102996.0,0.798212014,1
114,0.4231660859825282,0.009078487699673789,1.6068003018111636,100002.0,0.784014441,0
115,1.5180790779118374,0.2970217421892086,3.8505614347163544,108839.0,0.812915759,2
116,1.640473109578622,0.3230716524437617,4.145037868859907,109789.0,0.824060083,2
117,1.8868246514444251,0.3602633560571899,4.828875597817676,111421.0,0.819991219,2
118,5.198302982251128,2.020116719623343,10.294147744545858,150011.0,0.888995034,7
119,1.1969332345170125,0.13963697758383806,3.4845583354361755,105297.0,0.772325392,1
120,0.52180669376779,0.01306950481761067,1.971059932931659,100002.0,0.778982268,0
121,1.6402873756964096,0.31989993751439566,4.13569100076246,109769.0,0.821436226,2
122,0.97398810407448,0.11729407517975221,2.8002608404590186,104263.0,0.7807524,1
123,1.8345026826124182,0.47821807657456744,4.208494897034321,112292.0,0.82914212,3
124,0.8781571171636324,0.10196932588126363,2.5465559795708983,103864.0,0.784628849,1
125,0.4000032909439862,0.00994305876979044,1.5158593337926936,100002.0,0.78339312,0
126,1.2502068750798432,0.239746917889265,3.1467913349357852,107262.0,0.807599994,2
127,0.42968214147831585,0.009448387975053627,1.6094544940493183,100002.0,0.766191906,0
128,0.4562877557975065,0.013451243917686102,1.7303196613148801,100002.0,0.783635628,0
129,3.174341017869315,0.9476484093283001,6.996410543819546,124721.0,0.851293239,4
130,1.8789090487054172,0.37070466856916584,4.75346821659265,111283.0,0.811116813,2
131,1.7115520843299936,0.33495709793454703,4.324590922538813,110429.0,0.811316048,2
132,1.1755462797097898,0.13653326918552447,3.4112291999152577,105148.0,0.791210649,1
133,1.1401015465500208,0.13220789818895143,3.3025931205540413,105026.0,0.800818815,1
134,2.4818772027425706,0.631067598526795,5.782317581701571,117225.0,0.836362533,3
135,0.5989642007477657,0.015560096249903857,2.259421820886125,100002.0,0.764912411,0
136,2.1669524050729625,0.5593473678851066,4.9897534914311805,115084.0,0.8398611,3
137,1.6362161562323063,0.31467700860125913,4.1341109659254744,109889.0,0.806772649,2
138,0.9853140201762048,0.11474347494560033,2.8357946813320973,104305.0,0.794509847,1
139,1.3613850839950277,0.27273286361694576,3.408116375340373,108005.0,0.81287205,2
140,1.0144750401058649,0.11568750163084941,2.9473254627969836,104376.0,0.798231804,1
141,2.572849290623608,0.7713124549178642,5.566482964109913,119342.0,0.845223059,4
142,0.511807203164238,0.012752830877799517,1.9636689554219404,100002.0,0.762823237,0
143,1.9674491007199517,0.5136137803319748,4.534137105764303,113309.0,0.82869082,3
144,0.9443636093923674,0.11441362357680943,2.7172989756067065,104068.0,0.786371764,1
145,4.384561476835905,1.8388984305725542,8.262926548117395,139683.0,0.894140606,8
146,2.529297545872985,0.8684972437045877,5.2059830010879775,119357.0,0.833453134,5
147,1.6361978579987047,0.4220873825136662,3.757114116514199,111100.0,0.807013241,3
148,1.1263747846111822,0.22734906981164751,2.811514630318421,106482.0,0.80196046,2
149,0.6783458141342061,0.0783795735848734,1.9453830519859443,102816.0,0.790003615,1
150,1.6032401182294935,0.5010008796663775,3.4020083048706478,111074.0,0.834875611,4
151,1.7603246945335422,0.6235297233440653,3.556625395869956,113032.0,0.827282895,5
152,1.2028076382473565,0.31459338737834586,2.719169546718427,107697.0,0.79945172,3
153,0.5301893863786986,0.06159302268406955,1.5106859622571505,102157.0,0.778401851,1
154,1.3250397066281432,0.41111949646315626,2.8024986386103476,109182.0,0.816786674,4
155,1.2505783160668085,0.3898881572204864,2.6422297883866155,108519.0,0.863424747,4
156,2.01482757158024,0.7844681527715419,3.9184012205375436,115551.0,0.826669332,6
157,0.9021190886176633,0.18103998562696882,2.2285790356531487,105249.0,0.80765781,2
158,1.1840589478203116,0.31383262437272,2.683280740842657,107671.0,0.802743809,3
159,1.1116079505867245,0.29520887182460814,2.5077147389497934,107227.0,0.80439261,3
160,0.778857113021023,0.15569025211548096,1.9208256596034736,104334.0,0.793885743,2
161,2.115476784789465,0.8702698296020109,3.983030215315864,116438.0,0.83335157,7
162,1.105296371227697,0.2907966481910163,2.505061907105589,107086.0,0.796279618,3
163,1.0724842071261644,0.2827503511926751,2.4202284813946564,106849.0,0.799211789,3
164,1.2431706316499154,0.3881458278561399,2.626794698208635,108554.0,0.822278954,4
165,1.5058469289116174,0.5285934979963384,3.0327158178887728,110837.0,0.815565796,5
166,2.5118564129285557,1.1490099336656954,4.505068792609918,120695.0,0.835213971,9
167,2.0709017385155666,0.8545950229072807,3.880519140582626,115911.0,0.81671881,7
168,0.9314933185589549,0.24507481289651872,2.1081490023187914,105890.0,0.791058031,3
169,1.5228742521099041,0.5914283293577509,2.952776210712202,111390.0,0.816081346,6
170,1.4158824960806105,0.5496310851202161,2.728114005049897,110261.0,0.810433911,6
171,1.4774544270449275,0.6112752460176952,2.764360491663323,111150.0,0.814887961,7
172,1.8895446203376527,0.8718709745079729,3.353983101651961,114909.0,0.824842578,9
173,0.6933411194378815,0.18136188992700847,1.5536422856836434,104324.0,0.788082083,3
174,1.1321514401243198,0.45087609665347134,2.155835911325524,108208.0,0.809735911,6
175,1.2348585877718627,0.5217698040766556,2.279719479704331,109392.0,0.809450477,7
176,1.2108912662710531,0.5100481207449092,2.241853899525555,109036.0,0.813061948,7
177,0.9647853096653112,0.3456090037121064,1.904320109925135,106731.0,0.795968587,5
178,0.6496799561048642,0.1699783180551812,1.4668867481145693,104108.0,0.790791138,3
179,1.234302868838056,0.5179198319050521,2.272197013938153,109005.0,0.818727281,7
180,1.2414561888780364,0.5236292216904586,2.3161893250420253,109245.0,0.814670944,7
181,0.936010379649693,0.3366157602425171,1.8605831477981845,106418.0,0.802917748,5
182,0.6421201761366861,0.16872963712607605,1.429706280340411,103949.0,0.787738949,3
183,0.6926654839695866,0.18216155551839033,1.5511668683133737,104262.0,0.793942617,3
184,0.6647484941446067,0.18065607364882255,1.4985550619744659,104116.0,0.799321194,3
185,0.8617595867508829,0.27405203892384783,1.811309373894232,105880.0,0.808390467,4
186,1.4705426020536703,0.6129142498963175,2.745467597550677,111029.0,0.818958241,7
187,1.3779145665199677,0.5377593886011853,2.6484712987352563,110009.0,0.80669252,6
188,1.1947077622630247,0.42014925622541693,2.39500961145903,108516.0,0.816055527,5
189,0.5820187380363593,0.11831487678503855,1.4170488313635314,103213.0,0.780390184,2
190,1.016903716615327,0.3155196526861797,2.1471376827802215,106762.0,0.81239943,4
191,1.3045544541604481,0.4596967171679678,2.614586632009778,109442.0,0.817883486,5
192,1.3295037896012145,0.4719302721237671,2.668117050635967,109503.0,0.806094106,5
193,0.6378103242817653,0.13118348267350846,1.5738355026146782,103447.0,0.782520534,2
194,0.41156483440947794,0.04950902943979241,1.1663975485780023,101708.0,0.793801515,1
195,2.846205156039016,1.477629915530131,4.749930437617745,124130.0,0.860420077,13
196,1.4018251984798846,0.5398244438656273,2.696331269637632,110324.0,0.806184304,6
197,1.890232125748504,0.8347633096285878,3.421434321451678,114642.0,0.827825614,8
198,1.6742657037628048,0.6944218056834007,3.130063815068937,112679.0,0.811856088,7
199,1.6042944859721182,0.6709098021535841,2.9795481402752215,112111.0,0.814938683,7
200,1.0731148756601243,0.38224884489866545,2.1271648804737744,107468.0,0.814543617,5
201,0.6661629383131418,0.17893483854925352,1.488233030817701,104122.0,0.784219155,3
202,0.49084004063341774,0.09457402943692697,1.2062750918418053,102729.0,0.790856393,2
203,0.6520063650792428,0.1678455864786592,1.4486562071507025,104003.0,0.794588626,3
204,0.6191365679874817,0.16223551354078194,1.382936309478044,103817.0,0.817329411,3
205,0.8757406102792414,0.31017796525109415,1.7495469315543892,106096.0,0.793156738,5
206,1.2348919797144446,0.4837584859097715,2.3781561753403757,109014.0,0.820515695,6
207,0.741519545421823,0.19486225257496192,1.6600412922546535,104593.0,0.788528167,3
208,1.2273822760547748,0.4365050436662312,2.457847110959198,108512.0,0.816953927,5
209,1.3163500720496317,0.4647332116926451,2.6512795762668677,109477.0,0.814620596,5
210,1.191088326109196,0.37271609080586676,2.529091077255692,108027.0,0.800057604,4
211,1.4713248176601341,0.5094630641489443,2.956263815966801,110541.0,0.827073703,5
212,2.7911608119177083,1.3762626073594708,4.827472605032564,123709.0,0.848152845,11
213,3.3621051790245886,1.8260032870490635,5.456948094722363,129698.0,0.843395025,15
214,1.5046379411237811,0.6254604040937441,2.7963354226203276,111266.0,0.809637364,7
215,1.175239537747222,0.45086767800970423,2.2423996589762636,108581.0,0.805064288,6
216,0.7865240364279167,0.2531047046155316,1.635408015956766,105242.0,0.784286117,4
217,1.3538159275702057,0.5994975660019942,2.4433953953044907,110309.0,0.821773742,8
218,0.8321973684882594,0.29981807012327116,1.6485099547069768,105754.0,0.793609191,5
219,0.7993994452041453,0.2847136794968697,1.5893961050408922,105510.0,0.799494497,5
220,0.7797998135285299,0.2782391290678913,1.5491364017128875,105441.0,0.799452881,5
221,1.1330252007939416,0.507465862026033,2.028680739799288,108437.0,0.808491412,8
222,1.1122506683084386,0.4973348851772247,1.9981171281690302,108429.0,0.810712735,8
223,0.8018683289110158,0.2892341005295288,1.5952708049769682,105609.0,0.797938576,5
