"","t_start","t_end","meanRt","quantile0025","quantile0975"
"1",2,2,2.34486351521243,0.483567229618973,5.64696884028371
"2",3,3,9.55110495401381,5.56387060494655,14.5980198278937
"3",4,4,9.16014952964444,7.06961001920405,11.5173478895157
"4",5,5,0.270341767251686,0.116714386806616,0.487381443222496
"5",6,6,6.2862208637731,5.38933379103357,7.2511257804139
"6",7,7,3.63355947847717,3.2196637573303,4.07211934664314
"7",8,8,1.856217266977,1.65625193948239,2.06741401505788
"8",9,9,2.99176573438686,2.77705204002329,3.21436086465522
"9",10,10,0.593565767798689,0.522672314395439,0.668902205920169
"10",11,11,6.25296937389982,2.69958835297477,11.2730684158031
"11",2,2,3.88857819742666,2.12592188550331,6.17461663482251
"12",3,3,10.9537440378181,8.74946168681228,13.4019336360131
"13",4,4,0.464908090637952,0.270826095195958,0.710570929537209
"14",5,5,5.1786543637051,4.48070951503061,5.92637773295879
"15",6,6,4.3234922520741,3.90655443165056,4.76126599379663
"16",7,7,1.62757852733844,1.46355133270426,1.80019211049798
"17",8,8,2.98322690239751,2.79148459568056,3.18124775647625
"18",9,9,0.555486133962783,0.493695942119175,0.620866776728726
"19",10,10,15.2952910704829,8.36207795779996,24.2871697271654
"20",11,11,3.12872821902098,1.82259948482317,4.78198457636726
"21",2,2,9.52796180979273,7.7770312410163,11.4540014191882
"22",3,3,0.377782810136819,0.220072408636974,0.577407638128517
"23",4,4,5.75277973023946,5.07470572141096,6.47275568817032
"24",5,5,4.01142258484163,3.65654567373583,4.38249927328572
"25",6,6,1.64449652508798,1.49556046323625,1.80040054659248
"26",7,7,3.08755897468816,2.91121234071881,3.26901785814802
"27",8,8,0.607582275684508,0.549702967694103,0.668317020783571
"28",9,9,7.30162430023602,3.77285582410706,11.9759042239089
"29",10,10,4.99275556748672,3.29025737920766,7.04459764222705
"30",11,11,8.32910275295504,6.88839490837909,9.9045810482909
"31",2,2,0.467729398740855,0.302689805324192,0.668106499060137
"32",3,3,5.60190799647323,4.99079438361235,6.24780594626417
"33",4,4,4.0759908022589,3.74706868633489,4.41855283320205
"34",5,5,1.61327500452121,1.47820888229613,1.75416135058515
"35",6,6,3.14594033599937,2.98253711475138,3.31363992658891
"36",7,7,0.570647433056304,0.51941157194164,0.624258700405599
"37",8,8,10.3439677586677,6.02574240656626,15.8098405542771
"38",9,9,4.42709012821203,3.02812637044459,6.08752914771146
"39",10,10,7.94384687704435,6.68250988927846,9.31261477826135
"40",11,11,0.357553542467165,0.226658274624451,0.517803822828241
"41",2,2,5.77190443019626,5.19334107848216,6.38058234037741
"42",3,3,4.09250908926648,3.78800355561471,4.40861885818915
"43",4,4,1.61254216641724,1.4880935415115,1.7419170714309
"44",5,5,3.02472165889839,2.87716859793236,3.17591248900797
"45",6,6,0.569226792037972,0.521481119692295,0.619033920063385
"46",7,7,7.96992268683569,4.55549944356666,12.323601978821
"47",8,8,4.29637620174783,2.91917918265469,5.93549436379708
"48",9,9,9.43857544434482,8.03692410456729,10.9512301788898
"49",10,10,0.43331884587187,0.294419132525342,0.598635093070581
"50",11,11,5.42510682047264,4.90386950312421,5.97229096652893
"51",2,2,4.17455098925899,3.88223973748032,4.47732139983935
"52",3,3,1.68086057518797,1.56063774408509,1.80548084788115
"53",4,4,3.01520320164714,2.877352321418,3.15623419794148
"54",5,5,0.579949280828945,0.534833468946576,0.626865866100727
"55",6,6,3.58922670720604,2.00886294167288,5.6206383648429
"56",7,7,7.08024562256524,5.42838372002689,8.94818022285702
"57",8,8,0.277692159821135,0.119887764602628,0.500632983948775
"58",9,9,4.82232028370096,4.02903593653563,5.68583450364132
"59",10,10,1.4656940246288,1.17552946716219,1.78738352620856
"60",11,11,0.986618241192663,0.784686766535449,1.21132179911229
"61",2,2,0.534355934212464,0.388263839826598,0.703415438086911
"62",3,3,0.369471245696326,0.239102309441681,0.527754169676054
"63",4,4,1.31376483270018,1.0072559639802,1.66036676128668
"64",5,5,4.82869956775756,3.02612031116756,7.0456720283874
"65",6,6,7.50516127704998,6.0272607839765,9.14267457341811
"66",7,7,0.266173169935353,0.132872687415528,0.445001760358514
"67",8,8,4.62718744769522,3.97413566531863,5.32918772485485
