week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI
1,NaN,NaN,NaN,0.0,0.0,1.0,2.0
2,1.9527270161318884,0.041583741292949936,7.869942052969215,100002.0,0.880206606,0.0,0.0
3,3.3160422304669877,0.3413856090645287,10.349130835060505,125618.0,0.980021073,1.0,2.0
4,2.6502764087232547,0.2816212674679997,8.01163710006352,116517.0,1.02220919,1.0,3.0
5,1.1445778696780355,0.02823460683313346,4.449766335959989,100002.0,1.018845369,0.0,2.0
6,1.3281674315214818,0.03392936838330127,5.119045833849294,100003.0,1.199729016,0.0,3.0
7,3.1074447188284386,0.3445421942500866,9.368328011879075,122802.0,1.998452214,1.0,6.0
8,5.352715173516032,1.481083866496979,12.29191663713602,169255.0,1.839571204,4.0,9.0
9,1.1691524605106807,0.13104935913769516,3.43248588280418,105542.0,1.310187376,1.0,4.0
10,1.5097734978522837,0.2904471482110236,3.8047780185602362,109708.0,1.846977562,2.0,6.0
11,2.6671984949990684,0.910182132251966,5.509758682307995,123531.0,1.635761053,5.0,11.0
12,1.0054813281269386,0.1985118932509315,2.5105604261957564,106041.0,1.755187182,2.0,9.0
13,2.0851079893388555,0.7862321034410616,4.063017892696719,117598.0,1.585321948,6.0,11.0
14,1.665349891443575,0.6359876147696055,3.247224784214331,113483.0,1.56558085,6.0,22.0
15,1.902008479606292,0.8618185867866697,3.3824157531645693,116230.0,1.698078492,9.0,24.0
16,1.344413114148979,0.5953840108466493,2.427251049598879,111357.0,1.853544046,8.0,29.0
17,1.536371095343857,0.7712076948165506,2.6037323767657115,113407.0,1.813089767,11.0,40.0
18,2.1934360176847565,1.3089527033583979,3.348494543440067,120885.0,1.599353342,20.0,49.0
19,1.7921544944217533,1.110451266321937,2.6665700696077232,117613.0,1.598793937,23.0,53.0
20,1.622311343840911,1.056822396029746,2.3203308700987315,118082.0,1.88229241,28.0,70.0
21,1.0013366992004453,0.6194171000331606,1.4779227702315114,114288.0,1.470228352,21.0,69.0
22,1.7389561204417787,1.2279851667949855,2.3415862810969506,122057.0,1.602994066,41.0,101.0
23,1.3647025783485855,0.9582108520223362,1.8517411137810376,121052.0,1.924767833,39.0,107.0
24,1.513235118104024,1.1181802969300283,1.9784308911055342,124497.0,1.622145344,52.0,122.0
25,1.6252632376738332,1.2386231778060888,2.057921957599085,129885.0,1.96294972,68.0,163.0
26,1.3152334794654599,1.0119685457234031,1.6648009728373712,132050.0,1.680855001,68.0,196.0
27,1.2938321085669628,1.013107673675606,1.6202194722308272,135630.0,2.066753474,78.0,234.0
28,1.7941261890909155,1.479229753475567,2.1402848871782085,144340.0,1.776313639,126.0,310.0
29,1.6954353282865708,1.4283620021323244,1.99672479486903,151971.0,1.868808451,154.0,373.0
30,1.5904009991563357,1.3568872541485788,1.8443886675274705,162220.0,2.392518228,188.0,435.0
31,1.3892481594986157,1.196062079144504,1.598222291082364,173895.0,2.152969184,206.0,535.0
32,1.6124320630286157,1.423413365932467,1.818212136336752,182324.0,2.535165829,289.0,699.0
33,1.56247105146468,1.3953181463344362,1.7405165102339528,195927.0,2.37608341,349.0,858.0
34,1.4506992247579182,1.3058394182232937,1.6050433744046646,211492.0,2.878451108,403.0,1012.0
35,1.5291726471144576,1.3910148957133268,1.671483363624344,223904.0,2.694529934,516.0,1227.0
36,1.4743291278220847,1.3529197738618117,1.6021770073761146,240884.0,3.233464476,609.0,1484.0
37,1.4844012610113946,1.37560287647484,1.5988272457170298,255674.0,3.017271254,745.0,1878.0
38,1.5455397322134912,1.4448921117136637,1.6522217466698705,274300.0,3.562804607,945.0,2269.0
39,1.4475940115458918,1.3589426971434906,1.542441219990121,301558.0,3.565503845,1088.0,2738.0
40,1.4359306960709002,1.354103664826791,1.5189323290291468,322639.0,3.86749649,1302.0,3290.0
41,1.5155782594789393,1.4396018389959564,1.5949930808925192,348591.0,4.464877038,1651.0,4179.0
42,1.5459814384726382,1.474651061474073,1.617877385926778,382132.0,4.385623635,2056.0,5038.0
43,0.7868491446575753,0.7420676732335879,0.8322729398053081,475231.0,5.794937373,1242.0,3018.0
44,0.741569734581146,0.6980578338410968,0.7860733155174147,478710.0,5.427032786,1158.0,2870.0
45,0.7353721717698697,0.6905264033313742,0.781386198773265,462324.0,5.370744579,1030.0,2587.0
46,0.7338124207670887,0.686289704063249,0.78305745529063,434250.0,5.602704272,902.0,2295.0
47,0.7145448283968197,0.6640733507201747,0.7670441120963656,415356.0,4.849025602,768.0,1981.0
1,NaN,NaN,NaN,0.0,0.0,1.0,2.0
2,1.944938875138393,0.047644840958483405,7.803759170175569,100002.0,0.891105054,0.0,0.0
3,3.338712113707332,0.35024196671868574,10.431705462998464,125452.0,1.107689169,1.0,2.0
4,2.667929309218531,0.29469051097504695,8.022684488326579,116302.0,1.267377104,1.0,3.0
5,1.1516190148831327,0.027183452805650325,4.451657664217909,100003.0,1.291451126,0.0,2.0
6,1.325821972747511,0.031105314914533402,5.158979455480453,100002.0,1.125145331,0.0,3.0
7,3.1067581548035554,0.3361113182454573,9.474944087132124,122935.0,1.668012712,1.0,6.0
8,5.351918674794252,1.4798819652103954,12.296009669886383,169010.0,1.814724231,4.0,9.0
9,1.168020982714419,0.1344430499356368,3.4084362497681497,105508.0,1.659725812,1.0,4.0
10,1.507575732633817,0.2922377707016023,3.790227198996732,109638.0,1.472776137,2.0,6.0
11,2.650694849918748,0.897956268500463,5.482108821386428,123263.0,1.619843576,5.0,11.0
12,1.006711572971107,0.19700520806236094,2.52268227661687,106076.0,1.814287627,2.0,9.0
