dailyI
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
1
0
1
0
1
0
1
0
1
0
1
1
0
1
1
0
1
1
1
0
0
2
2
0
3
2
1
1
1
0
0
3
0
2
2
0
2
2
1
4
3
2
2
1
1
0
0
1
3
3
3
2
4
1
4
3
2
2
2
2
2
3
5
4
2
4
2
1
1
3
1
2
4
3
3
8
4
5
4
4
3
2
6
6
8
8
3
4
5
5
8
8
4
8
9
8
9
3
11
5
5
2
12
4
9
10
10
8
11
6
16
6
4
17
9
6
15
18
7
12
16
14
21
15
12
11
16
10
23
18
13
17
25
18
20
33
17
24
27
25
20
28
32
27
30
22
38
24
34
32
26
38
39
34
44
41
46
41
52
52
48
33
52
45
54
54
58
62
55
69
62
66
54
75
64
68
48
77
54
86
104
78
79
79
103
89
104
106
96
103
120
104
111
127
128
130
110
122
143
129
152
129
162
146
170
173
182
175
94
99
92
98
104
97
125
102
105
90
83
93
77
87
67
106
92
81
86
95
80
79
73
76
80
83
73
69
75
63
81
53
69
48
57
