meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI,trueR
NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.1202802343145317
3.4769450161365305,0.616932054684546,9.428804106040715,166895.0,1.241998626,2.0,4.0,5.48451767756179
2.1451534610534844,0.39983997228182677,5.665598287083977,125058.0,0.691920296,2.0,20.0,6.59253748602805
6.596833220268629,3.3721830463314024,11.365132360656785,277176.0,1.884836757,16.0,40.0,4.877084074366126
7.6205752785001755,5.414985655923729,10.358920382794786,292023.0,1.867297144,64.0,192.0,7.721955672006686
0.33871403027664265,0.14342424656175978,0.6180162070652541,104239.0,1.070335533,7.0,34.0,0.39124086150309867
5.074026896130772,4.165973957913017,6.072782261559189,194952.0,1.668408215,174.0,490.0,4.937416728358157
3.5229835133840885,3.057230248613714,4.033845289703486,159934.0,1.597216948,278.0,906.0,3.9486547424922374
1.990999366659841,1.7578477977047784,2.241133448080404,145780.0,1.394755248,312.0,848.0,1.7587610059915697
2.867197906678501,2.63193668549977,3.116116283585634,168070.0,1.850068385,718.0,2149.0,3.0926886024403863
0.6490440772048877,0.5681203838879721,0.7350148667147498,186948.0,1.882207012,252.0,712.0,0.6367729671724557
NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.1202802343145317
3.577192871045434,0.6400111794787514,9.578303203451041,189794.0,1.11159278,2.0,4.0,5.48451767756179
4.7335866785224106,1.7762858913651414,9.59313581228775,237556.0,1.283683043,7.0,20.0,6.59253748602805
3.735448083038496,1.8680417294243203,6.393690333513584,181703.0,1.335807064,13.0,40.0,4.877084074366126
8.426281210254997,6.2522985159681435,11.056840380935029,449087.0,2.995964461,84.0,192.0,7.721955672006686
0.5715920346431209,0.3296816699081243,0.8863970263036944,109853.0,1.102327477,16.0,34.0,0.39124086150309867
4.426313993226638,3.7154244173658846,5.201927488547149,208085.0,1.710682948,196.0,490.0,4.937416728358157
4.036516530508467,3.584843056472202,4.517053323233963,200754.0,1.758416952,392.0,906.0,3.9486547424922374
1.7803638415274934,1.5923442655194768,1.979625737498552,165231.0,1.79956105,358.0,848.0,1.7587610059915697
2.857499895859403,2.6564192638096937,3.0696131924059156,200429.0,1.945345753,899.0,2149.0,3.0926886024403863
0.6063926622851397,0.5345496288798282,0.6801882606674069,221136.0,2.303583177,292.0,712.0,0.6367729671724557
NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.1202802343145317
2.7062001337078883,0.29715490862280053,8.092919657572343,153466.0,1.240210065,1.0,4.0,5.48451767756179
8.26519187745926,3.821379850792162,15.298958832894378,824396.0,4.009700057,13.0,20.0,6.59253748602805
3.2900098107905364,1.8106288856259003,5.290978673235941,185295.0,1.402784478,16.0,40.0,4.877084074366126
7.665593652749244,5.890870250281064,9.735782348738677,490557.0,3.213330793,102.0,192.0,7.721955672006686
0.4587299952012204,0.26762192920055605,0.7057910350433559,112387.0,0.890849531,16.0,34.0,0.39124086150309867
4.77625650786652,4.110101010556468,5.489025997800244,264818.0,2.420273233,259.0,490.0,4.937416728358157
3.8178969573213717,3.436769506058754,4.218488205743884,229601.0,1.954232205,468.0,906.0,3.9486547424922374
1.7920772506639382,1.618517595113627,1.9741680511315556,192126.0,2.002772038,446.0,848.0,1.7587610059915697
2.9365249438081475,2.7470741810132764,3.1305730050061333,242468.0,2.34836407,1143.0,2149.0,3.0926886024403863
0.6620058719311431,0.6000813866121736,0.7288081010005111,263352.0,2.759922798,402.0,712.0,0.6367729671724557
NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.1202802343145317
4.6413209883245035,1.0947090740713599,11.424619853301449,343144.0,1.725243778,3.0,4.0,5.48451767756179
5.759095265876622,2.631918214261163,10.352698233349756,403746.0,2.093481409,11.0,20.0,6.59253748602805
4.731786476592828,2.950589032983404,7.026418670832719,296633.0,1.938968265,26.0,40.0,4.877084074366126
7.088319248116752,5.589435459353067,8.755475330483243,531093.0,3.468318466,116.0,192.0,7.721955672006686
0.5659537799009575,0.3684387093358199,0.8129164621030521,119991.0,1.181735731,24.0,34.0,0.39124086150309867
4.662470422075138,4.09007605619861,5.2780904589780695,307612.0,2.39810854,304.0,490.0,4.937416728358157
3.8616824205681133,3.5215616243596783,4.222683867413709,280215.0,2.402581962,565.0,906.0,3.9486547424922374
1.7605420944889134,1.6067877160848272,1.9220717414814423,228773.0,2.044198729,524.0,848.0,1.7587610059915697
2.982931145773492,2.8078544923902724,3.1564833646388695,301376.0,3.03400094,1386.0,2149.0,3.0926886024403863
0.6247258367613125,0.5686287728531118,0.6837628831844017,322349.0,3.23143405,454.0,712.0,0.6367729671724557
NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.1202802343145317
4.800875564498645,1.1479014040332003,11.654805426108684,408540.0,1.876402043,3.0,4.0,5.48451767756179
7.511081764675038,3.932395933779448,12.62358353075711,859373.0,4.172443661,16.0,20.0,6.59253748602805
4.412467510946141,2.8999628256108294,6.2853457256786225,310752.0,2.021881054,31.0,40.0,4.877084074366126
6.836735700810109,5.5801507590117065,8.203020991238027,610106.0,3.929219718,139.0,192.0,7.721955672006686
0.4315398849672718,0.2727854597173843,0.6267565633890649,125693.0,1.017551602,22.0,34.0,0.39124086150309867
4.756825292928919,4.224312843215368,5.316594669915507,379711.0,3.17475638,362.0,490.0,4.937416728358157
3.8780531426888256,3.5683653218670353,4.201596852198385,347262.0,2.893693734,667.0,906.0,3.9486547424922374
1.7625374866288177,1.6152358925163783,1.9118920052867336,281345.0,2.653984939,619.0,848.0,1.7587610059915697
