week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI,rPosterior_1,rPosterior_2,rPosterior_3,rPosterior_4,rPosterior_5,rPosterior_6,rPosterior_7,rPosterior_8,rPosterior_9,rPosterior_10
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2018-05-10,0.27920825228061064,0.06558100501139391,0.7392000984030898,123.0,1.072410332,0,0,0.18711666933757148,0.20649099382402628,0.40568033834479594,0.22019507937540098,0.26480321276869295,0.8360284158393684,0.04118235354302546,0.14962080451355184,0.24668371490833227,0.2342809403513404
3,2018-05-17,2.0256944130380434,0.5083319085561617,3.9339711510669044,196.0,0.001874567,2,3,2.0363732717017164,2.8028933534538654,4.065745427767211,0.7832920626582276,0.4285047670426586,1.2025380677472395,2.093673231005188,0.8701193044270938,2.4937226688113814,3.4800819757658497
4,2018-05-24,0.6990166253862314,0.19537219301501663,1.2262971820288273,82.0,0.001409153,0,0,1.063115390451698,0.6264475568961515,0.7286898481740262,0.3331593199204453,0.15536947875215024,0.6955103437467951,0.40859431675364255,1.2682973183591397,0.6293526350282936,1.0816300457799726
5,2018-05-31,0.34168376027578956,0.0836201387270757,0.9123277054734249,53.0,0.001212609,0,0,0.13709370974910198,0.16504748755905035,0.4348663856762586,0.13629002510220545,0.9991538915698854,0.0683288813923606,0.613259731141171,0.19516938797919686,0.2001247558264571,0.4675033467622084
6,2018-06-07,5.299637786901725,3.773903595722506,6.887918463639533,288.0,0.003290134,2,6,5.694683542249765,5.085324746451963,5.655797647730206,6.9204260755343014,4.81358969886143,6.775947800446441,4.120365398047542,3.673317911176528,4.36636850417528,5.890556544343798
7,2018-06-14,0.22326254779314345,0.005273467123975314,0.7632804418400922,168.0,0.002188738,0,0,0.03496103371169233,0.17142992342069696,0.06988198740450352,0.015684442034979387,0.3141565415980486,0.05498116255509289,0.8450413038656112,0.24257846245672504,0.002250926020780581,0.481659694863304
8,2018-06-21,3.5023571158573468,1.7407921125206616,5.588244783641439,299.0,0.0196223,1,9,5.7783249924003,1.5506679797944958,3.7956294356499773,3.3875284848413427,3.4698200162180153,2.6212462857849013,4.933524064583141,3.811896081032242,2.3956641252441204,3.279269693024926
9,2018-06-28,2.264497815851645,1.2967473672808376,3.2560121840037115,171.0,0.001750692,3,8,2.112114893292873,2.576542636447157,3.3303857451596346,1.8056351125061934,2.50862320561605,1.1490057638283149,2.999836584466642,1.9499832819137766,2.357735007491884,1.8551159277939198
10,2018-07-05,0.3955948198576238,0.21525479483131726,0.5904451145962029,299.0,0.003032425,1,2,0.4548470122532699,0.3470524936328184,0.4810508985316314,0.40873288826950305,0.6197358773539918,0.3695077658370852,0.27536436030312633,0.31229856219113244,0.1978036306620824,0.48955470954159647
11,2018-07-12,1.5016732908822985,0.756826584231175,2.2191025232607027,486.0,0.005345266,4,7,1.3119028366685699,1.6821920098326781,2.0318511718797603,0.6979069294890589,2.269798508310839,1.3468037544474791,2.044483019199122,1.454685904482762,1.217336712836476,0.9597720616762415
12,2018-07-19,3.4098290923831724,2.7128723207989727,3.9183618940512277,1275.0,0.118347763,4,21,3.9375533834129994,2.622148218029594,3.4190485717299177,3.7025569000004315,3.38059277389273,3.30394890718779,3.08641828887746,3.025366452560165,3.852257875138459,3.7683995530021788
13,2018-07-26,2.6517882341771934,2.035152461118232,3.3073010068281867,1248.0,0.029156883,14,30,3.1465012194015927,2.0336415162089914,2.112599004561813,3.260314582716861,3.320942226731475,2.762748063653278,2.505175051852919,2.426821293985813,2.9087825557424623,2.040356826916728
14,2018-08-02,3.3860799269491944,2.8167431121658475,4.055966139919651,2472.0,0.312515386,23,64,3.303343040199223,3.1873663775680656,3.309206335930596,3.664405587170278,2.7892659090741434,4.090943199866722,3.347466483197076,2.9113868117039403,3.3219259246799373,3.9354896001019624
15,2018-08-09,2.7677649707970207,2.4942190360773164,3.0328383328916195,3542.0,0.267902962,37,105,2.512482168159348,3.0571794927438107,2.859534532381244,2.488916836440598,2.7517752395041475,2.7125337579918876,2.9489965600674046,2.8390816192691863,2.6044403414533916,2.9027091599591914
16,2018-08-16,0.4327374671118642,0.3067277229881204,0.660256321297042,2475.0,0.040655009,10,24,0.302346341487704,0.34700596928856187,0.38508453655817904,0.44544201557366214,0.32181914815622137,0.6877323082795608,0.4038963351732292,0.39098644200273086,0.5656168105794773,0.47744476401931646
17,2018-08-23,0.8133371318350979,0.6716940225068634,0.965460649881698,4303.0,0.077645903,15,49,0.983596232101223,0.7917326862838847,0.6540202477297713,0.8664817093526833,0.9029936444588894,0.7325703578501803,0.8680736755977642,0.7871399744898978,0.7595014365922554,0.7872613538944309
18,2018-08-30,0.5987353670004081,0.5102244447588171,0.7001584848310746,3198.0,0.051225469,9,30,0.5252694889733037,0.5058565286965467,0.5997359895450409,0.5636625498940456,0.7127124644443741,0.6569169994963765,0.5691172200005702,0.6295233576682812,0.595817762067148,0.6287413092183918
19,2018-09-06,0.423213150351969,0.2506022234580296,0.5524531380494231,1859.0,0.027562514,10,17,0.4105270302458579,0.5388073796100744,0.5345578632262474,0.4847361609826279,0.5564148098543953,0.4264885655050713,0.243439465126863,0.32946262786572444,0.4324236545041132,0.2752739465987145
20,2018-09-13,0.8038040299589204,0.6491886668155884,1.04165320895921,1587.0,0.024414929,12,26,0.681123938018572,0.8181130208187612,1.0439479199134776,0.6627603712976906,0.645248494546591,0.9103497144679165,0.6804392377939962,1.0337492045611782,0.8448730473906823,0.7174353507803384
21,2018-09-20,2.2189711900942095,1.8079114284781808,2.9545930327311485,2817.0,0.045764255,24,65,1.8011825964621964,1.8322538630421217,2.2403715126232706,2.0578497699458564,3.0034859917987817,1.8310885165332378,2.1742856824443297,2.34751814708344,2.78618395149819,2.1154918695106706
22,2018-09-27,1.2335571864503314,1.0292979542632534,1.4441102448809358,3819.0,0.067080276,20,47,1.2493916359380755,1.087434637369973,1.3044953334822886,1.0124195623935606,1.3611021607802893,1.468209366071446,1.1957683074241934,1.2774300864436898,1.1410937739518172,1.2382270006479814
23,2018-10-04,1.5872587762139023,1.4965605284712522,1.791495305373339,2482.0,0.040917634,27,76,1.6995086374473813,1.6460944111523204,1.5326878871524192,1.5581406400705755,1.4947661820653049,1.517120464095545,1.8182011121905521,1.5027410549806264,1.5056454949688818,1.5976818780154167
24,2018-10-11,1.5427524377318775,1.2717588446636172,1.8325466352656312,7383.0,0.12539507,34,89,1.539697842192763,1.564604561231969,1.2533395234360547,1.7985039803168394,1.8424299867023772,1.3352031733363325,1.4583074055100451,1.4132995036835978,1.5677534968038533,1.6543849041049437
25,2018-10-18,1.444387905916075,1.2623721752181187,1.6914151061923293,2987.0,0.04710601,44,104,1.2603262104264892,1.4907946608181601,1.4444617296104043,1.7208610060921377,1.5899903398707673,1.563075234485343,1.308413301161833,1.356045110255518,1.2694193872781767,1.4404920791619196
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
