week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7179754414861133,0.5191738083397132,3.773597829928753,123471.0,1.14811491,4.0,7.0
3,2.0503257497851006,0.8777863593738171,3.7748203873290906,131998.0,0.558317347,8.0,11.0
4,1.9893676363778627,0.9803498195433078,3.3997713633371487,131790.0,0.977598893,11.0,31.0
5,1.372793689683535,0.6602441784567842,2.3544095058719776,119702.0,0.642531951,10.0,21.0
6,6.812031828959674,5.165434832634156,8.76470609927436,301326.0,1.682389325,87.0,178.0
7,0.5382079666940683,0.30924188176832973,0.8318606405533686,109144.0,1.142892322,16.0,36.0
8,4.81619689846639,4.090401010921398,5.620606274389782,213725.0,1.496517481,224.0,449.0
9,3.0358141500609244,2.6588496789192386,3.4283418401360546,167239.0,1.58803525,310.0,616.0
10,5.736670788000974,5.3573742842215415,6.148502596103373,299345.0,2.379375795,1312.0,2571.0
11,0.6586163398161575,0.5889130075490375,0.7315193075552195,218459.0,1.836302019,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7232113126911524,0.5240346797615009,3.7802037807774815,123634.0,1.188793597,4.0,7.0
3,2.0455694731051164,0.8749767286885455,3.8187767949005753,131744.0,0.575875221,8.0,11.0
4,1.9901724958596134,0.9879633296216779,3.4046745937139318,131406.0,1.00170289,11.0,31.0
5,1.3638878042655573,0.661008422705042,2.345860884965034,120071.0,0.692561503,10.0,21.0
6,6.828066847783347,5.16109109103978,8.806892709662282,305062.0,1.800022297,87.0,178.0
7,0.5362596709626314,0.312105981879795,0.8336831415595958,109330.0,1.167689975,16.0,36.0
8,4.82262480481041,4.081146762818593,5.654090170036001,213509.0,1.49699424,224.0,449.0
9,3.03496595461122,2.663369593804907,3.4394719373181424,167148.0,1.341788001,310.0,616.0
10,5.738276663540879,5.338267652114135,6.137788514435186,298637.0,2.374426033,1312.0,2571.0
11,0.6586414989572336,0.5883312978226054,0.731988130356078,219848.0,2.008279405,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7177400703086465,0.5208540030943053,3.7955322470390316,123604.0,0.787266051,4.0,7.0
3,2.0491946554211116,0.8732245340863366,3.822797992833579,132165.0,0.547747247,8.0,11.0
4,1.9897682815994242,0.98116847102627,3.3967989090650357,131632.0,0.969893495,11.0,31.0
5,1.3717246348956167,0.6686436736867174,2.365198643551484,119898.0,0.641259378,10.0,21.0
6,6.823224967684185,5.162824831986631,8.793965281847415,307009.0,1.692126464,87.0,178.0
7,0.539044090778358,0.3057848071584439,0.8364586243494825,109278.0,1.096543828,16.0,36.0
8,4.816482692333441,4.071022680550322,5.622112579592677,213162.0,1.450190523,224.0,449.0
9,3.034973375309618,2.6642717617428993,3.42834437206897,166265.0,1.531292228,310.0,616.0
10,5.740594880897811,5.365994203637176,6.142638055480904,299361.0,2.31103356,1312.0,2571.0
11,0.6570195433150435,0.5858818795171812,0.7321305130898824,219522.0,1.774790628,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7185439500777633,0.518528873087253,3.749957423277569,123740.0,0.850171509,4.0,7.0
3,2.042264024693504,0.8778329422888416,3.8060311615881544,131651.0,0.594196714,8.0,11.0
4,1.9952726417436213,0.9861546493221005,3.4148746469798947,131467.0,1.008491406,11.0,31.0
5,1.3702648521931666,0.6587531729790274,2.3564674440657494,119784.0,0.68045184,10.0,21.0
6,6.833737901889897,5.158196645321106,8.813966800255237,307047.0,1.791347342,87.0,178.0
7,0.537519247372032,0.31012738816328134,0.8286666742145046,109200.0,1.122744473,16.0,36.0
8,4.822230707180054,4.082334826182149,5.63977464614021,213967.0,1.508634334,224.0,449.0
9,3.0409907439322823,2.6628748597243592,3.436386763562022,166672.0,1.642093898,310.0,616.0
10,5.7470396233553505,5.3547777360943165,6.15193666053904,302173.0,2.43673744,1312.0,2571.0
11,0.6572501991424853,0.5896987533718112,0.7303838040939883,219910.0,1.85339249,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7156585690299675,0.5165882368594064,3.7635891990495964,123383.0,0.847742868,4.0,7.0
3,2.0562731914118735,0.8731604779523856,3.826149953973822,132347.0,0.612933617,8.0,11.0
4,1.9923341531110668,0.9930801837250223,3.408785840720817,131485.0,1.022601084,11.0,31.0
5,1.3709353090775647,0.6661448956226763,2.353403358018827,119631.0,0.689453282,10.0,21.0
6,6.821960316988227,5.169967342983991,8.752195908263653,304716.0,1.855139805,87.0,178.0
7,0.5370208991975485,0.31020990270498233,0.8285502512676853,109015.0,1.138346536,16.0,36.0
8,4.830388450854729,4.079467105989369,5.6319488733240695,214628.0,1.514883974,224.0,449.0
9,3.0368383771360214,2.66760625189116,3.4363585580393647,166467.0,1.638412581,310.0,616.0
10,5.738725868056352,5.364615496630765,6.137309160435854,300305.0,2.461937631,1312.0,2571.0
11,0.6579416235194802,0.5892626896775099,0.7320200854538659,221363.0,1.884959076,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7135966579573598,0.5174990697277493,3.746309837520852,123739.0,0.950933298,4.0,7.0
3,2.0452290741777004,0.8764242948841869,3.8227781270525933,131743.0,0.629768712,8.0,11.0
4,1.9997339877397102,0.9849332131553992,3.4234025274107265,131513.0,1.02743025,11.0,31.0
5,1.3729711219362073,0.6617430973002628,2.3880956702683798,119847.0,0.690895591,10.0,21.0
6,6.844167960883959,5.166306178732309,8.78026183560971,306224.0,1.872116327,87.0,178.0
7,0.5373841348113544,0.30929208372912403,0.8288843654585738,109306.0,1.144565602,16.0,36.0
8,4.819559185407128,4.075133061203868,5.641670859778234,213385.0,1.531073665,224.0,449.0
9,3.0402163874417605,2.6631757480104783,3.4311019728902834,166199.0,1.631397498,310.0,616.0
10,5.742329414980406,5.358999270023865,6.126295354367019,299193.0,2.427820503,1312.0,2571.0
11,0.6590301775783628,0.5888778634733443,0.732163754285381,220230.0,1.896081563,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7234430267400416,0.5181897663992574,3.751523875356911,123324.0,0.886147486,4.0,7.0
3,2.0413304893072155,0.8723863519766104,3.7921254563696545,132077.0,0.618032297,8.0,11.0
4,1.9863692386074174,0.973825343191231,3.4104532266802767,131566.0,1.072550688,11.0,31.0
5,1.3718041904090228,0.6609955481939703,2.3643068527924123,119793.0,0.727002292,10.0,21.0
6,6.826544128768073,5.174048427472027,8.758177394650243,304243.0,1.851730535,87.0,178.0
7,0.536656871372363,0.3125007561159762,0.8273755682784378,109280.0,1.185781301,16.0,36.0
8,4.822337021479638,4.087745845986822,5.659000127245168,212944.0,1.541001047,224.0,449.0
9,3.036161218627486,2.677013758213854,3.4254035860492564,166743.0,1.340347079,310.0,616.0
10,5.742329104905854,5.363398518264236,6.1262703407767685,299993.0,2.516912621,1312.0,2571.0
11,0.6582555422305281,0.5883355475595643,0.7301140140493503,219551.0,2.218418392,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7163768949034828,0.5162642538553952,3.746988917434301,123713.0,0.884668075,4.0,7.0
3,2.0493736763003882,0.8798438177629867,3.803929339802153,132089.0,0.630999448,8.0,11.0
4,1.9957021682893907,0.9872551360023968,3.3968159114933094,131315.0,1.1226404,11.0,31.0
5,1.3740722950713835,0.6621572747409412,2.3730148540293494,119674.0,0.70407161,10.0,21.0
6,6.812249133153663,5.1557020377269565,8.800516602776796,304208.0,1.875832255,87.0,178.0
7,0.536819970062054,0.3060857879931771,0.8315265005715136,109304.0,1.188881411,16.0,36.0
8,4.811439162904123,4.081894100883819,5.623774543313914,213647.0,1.542754905,224.0,449.0
9,3.041136103500414,2.66853611084045,3.4353040486931734,165982.0,1.346007131,310.0,616.0
10,5.745639751686396,5.357242353323472,6.159579846819808,301481.0,2.530723266,1312.0,2571.0
11,0.6576627412721149,0.5888915579725078,0.731363858500817,220152.0,2.282344187,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7095816172292235,0.515413271475165,3.7412923747101656,123887.0,0.870894213,4.0,7.0
3,2.0501495369127527,0.8772870689277105,3.8360102668077096,131818.0,0.631437047,8.0,11.0
4,1.9934800459200275,0.9849094327162493,3.4151895404973036,131509.0,0.712358227,11.0,31.0
5,1.3706268408489213,0.6609619192261085,2.3656383751468297,119867.0,1.126696256,10.0,21.0
6,6.820087427528111,5.145907302008385,8.781892291014225,305796.0,1.910945949,87.0,178.0
7,0.5376192385746904,0.31330966829731477,0.8368785048613012,109353.0,0.803441531,16.0,36.0
8,4.81579480924239,4.08358649918048,5.622924195244014,214203.0,1.569685218,224.0,449.0
9,3.036998717101656,2.671014915308932,3.428829388106481,167044.0,1.735758826,310.0,616.0
10,5.744570169028071,5.363326185248567,6.159734499242878,299084.0,2.582708171,1312.0,2571.0
11,0.6584297267841636,0.5888841096988658,0.73193440098269,220603.0,1.973060665,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.723524990068623,0.5229584259967487,3.7689613761340337,123580.0,0.88248155,4.0,7.0
3,2.0484338947442198,0.8784415385812891,3.796146074684729,131519.0,0.644683985,8.0,11.0
4,1.9950601928379343,0.9817114453283221,3.4060722459794013,131546.0,1.084813236,11.0,31.0
5,1.3712207251324053,0.653592181781117,2.3652240355663396,119781.0,0.744050944,10.0,21.0
6,6.823532664007013,5.176490449724744,8.769888798546548,302861.0,2.030353842,87.0,178.0
7,0.5354240855494159,0.30921721759797827,0.8296529074631358,109143.0,1.244378995,16.0,36.0
8,4.821977130350574,4.102444663764224,5.650444273419222,214782.0,1.584846915,224.0,449.0
9,3.0338092084690897,2.664171790071655,3.4299378379236556,166487.0,1.368068922,310.0,616.0
10,5.743023174504353,5.352286235731822,6.153682047372298,301138.0,2.582636681,1312.0,2571.0
11,0.658087267879661,0.5881424841491202,0.732828229740967,220569.0,2.333214594,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7206544679058444,0.5174093094438269,3.7663002856748213,123622.0,0.894579755,4.0,7.0
3,2.0479547936587505,0.8759314594594974,3.7987154674912174,132238.0,0.705390032,8.0,11.0
4,1.9981213613956874,0.989097866420952,3.40723306728541,131478.0,1.089657217,11.0,31.0
5,1.3706366059576665,0.6577578000078416,2.353587306498014,120023.0,0.731067204,10.0,21.0
6,6.8272009239643054,5.178113275020676,8.82130319069674,304838.0,1.898255509,87.0,178.0
7,0.5368400697335559,0.30838099313294753,0.8312661093536301,109287.0,1.209369435,16.0,36.0
8,4.828495028459242,4.083173067914926,5.670095933151549,213813.0,1.602165064,224.0,449.0
9,3.0378877484248146,2.6718938151919183,3.4359203866178856,167020.0,1.376600577,310.0,616.0
10,5.747173599344402,5.351728969851021,6.153164994785347,301019.0,2.583966115,1312.0,2571.0
11,0.6575152309707781,0.5890761633048478,0.7326595747713703,220301.0,2.330064567,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7221182279078364,0.5141030243273349,3.7475119515367634,123617.0,0.866789434,4.0,7.0
3,2.049475518038502,0.8763739272555154,3.802565164058868,131603.0,0.634427531,8.0,11.0
4,1.9947041075097125,0.9848188402373369,3.4185388674843393,131576.0,0.746290572,11.0,31.0
5,1.3729504812918514,0.6621357677104885,2.367711298517585,119993.0,1.120351852,10.0,21.0
6,6.8118694132253825,5.139467955981106,8.769870543576243,303948.0,1.93435396,87.0,178.0
7,0.5360202899881036,0.3098174918047929,0.8300565326680553,109220.0,0.823075029,16.0,36.0
8,4.823041892497582,4.102498689604513,5.620342046351784,213045.0,1.589656012,224.0,449.0
9,3.042098551837094,2.667056616204487,3.420481220884205,167410.0,1.856043544,310.0,616.0
10,5.7440142533976415,5.355380464837058,6.138319839898221,299899.0,2.553406786,1312.0,2571.0
11,0.6587115040952406,0.5859682708496731,0.7322126150479471,220331.0,1.935386104,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.723535137379294,0.5179377603880986,3.781576175342259,123695.0,0.88059274,4.0,7.0
3,2.048099512471037,0.8806299718300588,3.789683935729485,132035.0,0.619118377,8.0,11.0
4,1.9999043058349422,0.9957653949763909,3.4155724784540173,131234.0,1.065826241,11.0,31.0
5,1.3706715548409452,0.658270038191375,2.373298132923922,119911.0,0.713121108,10.0,21.0
6,6.8145854741310385,5.160208963990595,8.793087101264534,305617.0,1.881548037,87.0,178.0
7,0.5364318487043237,0.30859770289834865,0.8284425772353291,109207.0,1.241302627,16.0,36.0
8,4.828116917438901,4.093951021296297,5.626381397667885,214591.0,1.627255552,224.0,449.0
9,3.041769729604433,2.670294455831148,3.4514049974450884,167122.0,1.662381172,310.0,616.0
10,5.745305048576803,5.360738807862002,6.146389920911336,300808.0,2.560042619,1312.0,2571.0
11,0.6569137321350488,0.5867111370265128,0.7316161016907872,219304.0,1.995526721,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.7148335554390208,0.5119647500529841,3.7662305117222656,123719.0,0.937842718,4.0,7.0
3,2.05006619978871,0.8819532215712137,3.7849674546327314,132037.0,0.667704479,8.0,11.0
4,1.990916642982553,0.9841307475165677,3.390095901546238,131415.0,1.073912992,11.0,31.0
5,1.3707194264547955,0.660589458335271,2.368413624740635,119622.0,0.74553862,10.0,21.0
6,6.820482724070618,5.176457013632003,8.774623644718387,305521.0,1.968102175,87.0,178.0
7,0.5369933160007668,0.30551343149692867,0.8271866247155911,109199.0,1.274337887,16.0,36.0
8,4.818250993871688,4.095544653377625,5.620759921653439,214443.0,1.63578334,224.0,449.0
9,3.035297756868036,2.6627283409843887,3.437437387510993,167820.0,1.707354525,310.0,616.0
10,5.742838622706638,5.3598122851409995,6.145892471221425,298412.0,2.569644296,1312.0,2571.0
11,0.6571685816955968,0.5897243646415081,0.7316312701753677,219761.0,1.988840369,349.0,710.0
1,NaN,NaN,NaN,0.0,0.0,8.0,14.0
2,1.716064815382692,0.5187405679991779,3.7855783964246723,123401.0,0.901941865,4.0,7.0
