week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
11,1.60706272340068,1.20924032967397,2.05715840201263,179907,4.026029209,56,1.48848764066287,56
1,NaN,NaN,NaN,0,0,1,2.03849797455839,1
2,3.08888984816881,0.314545228978202,9.95334473453469,106269,1.536477043,1,9.08962791431746,1
3,1.21896414612194,0.0271597404686382,4.96144378349132,100002,1.315736486,0,0.373314378401313,0
4,4.85149673899308,1.31965077979977,11.5994534911271,115717,1.578950553,4,3.29612342660605,4
5,2.07463508016726,0.841918415163615,4.31323420240677,123010,2.081671692,15,4.38715284544554,15
6,2.16974079958299,1.16717328520401,3.61808737635884,127051,2.048502692,25,3.13243838811978,25
7,1.62646957017303,1.01369952969399,2.42308371278129,122084,2.53581797,27,1.98095624707365,27
8,0.479506057911579,0.275191579758019,0.753578747268709,154853,2.842354925,17,0.995761319158201,17
9,5.21465223259547,4.34262027156544,6.17657388444134,362221,5.83202022,229,7.10422729815074,229
10,2.50133819989423,2.17085202622723,2.83888952501796,302349,5.540269296,243,2.42504152682137,243
11,0.924998194257054,0.781359858596067,1.07978968936847,326841,5.407479272,146,0.966970848000512,146
1,NaN,NaN,NaN,0,0,1,6.22229234872912,1
2,11.2020906831568,4.78660782758992,21.8767654732486,179629,1.891860582,14,8.79153429738797,14
3,3.3218436088272,1.73525478150581,5.57486848623846,107867,1.956944317,16,4.87360787991278,16
4,4.97106583744385,3.46177707850466,6.8816273692748,113858,1.568458198,58,4.83199741736678,58
5,4.20028807826034,3.48780945018762,5.00850585664402,212544,2.648896681,624,12.4866057023626,624
6,0.693908995952177,0.587266892337193,0.810565595033813,259611,3.896939331,207,0.905414855032181,207
7,1.37956230086128,1.24291734821582,1.52349791909304,254902,3.431067447,483,1.26518988194604,483
8,1.21505679679072,1.12388811574664,1.31078331448106,758101,10.645785998,845,1.82648873231602,845
9,10.0488115055825,9.76940036046711,10.3251909722786,2559864,36.571005522,12216,11.2945607612003,12216
10,5.63147797636445,5.55893530414002,5.70455256879944,2389134,35.550284517,28322,5.42548752511169,28322
11,9.22319973317466,9.17236920521885,9.27504073839654,8197228,124.087232109,170629,8.70172591470431,170629
1,NaN,NaN,NaN,0,0,3,3.53807603047752,3
2,0.914735960436823,0.0204207231803928,3.65824418845264,100002,1.724087797,0,0.799732079387344,0
3,2.96745736787869,0.682339946133266,7.521474965077,106599,1.514644596,3,5.48964999424442,3
4,1.64903465781614,0.308540860146278,4.32187192583474,102781,1.864680529,2,0.944588236398062,2
5,0.120741237701629,0.00265535978925827,0.486338053088459,101924,1.924804809,0,0.485778715007451,0
6,0.859827410581498,0.221524578907303,2.12860681574137,107953,1.929388196,4,1.70228721216674,4
7,0.682082983355357,0.12686871773528,1.80829524875503,105107,1.960127449,2,1.4792783863656,2
8,2.11136130299246,1.00640614817388,3.84243708891473,147043,2.661104962,13,3.0914945482886,13
9,2.43786271732845,1.42465147737984,3.75152033569034,159195,3.261509569,20,2.14158997437298,20
10,1.05238333576106,0.550521431152402,1.71061827853743,128693,2.739824523,12,1.1118017190321,12
11,4.12546728970639,3.14999630966227,5.21255398178137,236323,4.192674051,67,3.88020605188908,67
1,NaN,NaN,NaN,0,0,1,9.85170886007793,1
2,5.01835256345849,1.09133601204114,13.243936022044,118195,1.487256449,3,10.2510291645942,3
3,3.05772064467823,0.843716268554126,7.17933498713431,106824,1.580551555,4,1.59347946129425,4
4,0.422933658432577,0.0108122026950745,1.624162178394,100019,1.484872015,0,0.32322793321041,0
5,0.759970178092733,0.242796232457119,1.75143415251975,108743,1.897536964,6,3.0079855528827,6
6,0.68209107574178,0.19260096370984,1.56167373755541,106716,1.778364049,4,1.81763607326606,4
7,3.00255752459435,1.64951911298461,4.85960862341036,137738,2.436769772,20,3.53913527849321,20
8,0.963608347778419,0.530202780960967,1.53990501728783,134700,2.709893365,16,1.5499358640098,16
9,0.106240448080874,0.0130138736054417,0.310842274844513,119348,2.548645532,1,0.0213029603377312,1
10,1.11842490498967,0.627281779825396,1.80410925030773,134269,2.871416231,15,1.5038988906931,15
11,5.964741832479,4.70878584793753,7.36828442803928,330283,5.76243456,97,7.23658687618799,97
1,NaN,NaN,NaN,0,0,1,1.96715233143996,1
2,1.78236129181821,0.0397024532324058,7.27735493761797,100001,1.561971592,0,2.15186213120288,0
3,1.75865078247204,0.0388074140326503,7.18413529204129,100001,1.336811646,0,2.60309567791035,0
4,2.02776531182791,0.0456572149843701,8.11156184937314,100001,1.450736766,0,1.01005808107996,0
5,1.53059167480194,0.0222884307516086,7.6798123953231,100036,1.572571187,0,1.87542772760195,0
6,2.61767910730295,0.0448652010421345,11.5006611489168,100007,1.723478497,0,1.94845996528829,0
7,3.58756861608068,0.075616328962439,14.4832653203021,100001,1.831309843,0,0.437633561347627,0
8,4.23505707685153,0.0928098925900899,16.4456168098309,100004,2.015630244,0,16.12226379388,0
9,4.68496932969124,0.112288669022548,17.5698896655164,100001,2.10813715,0,2.22501529554913,0
10,4.86552537236791,0.121058908953332,18.0799983091724,100001,2.197792696,0,0.266704097008292,0
11,4.95984059959696,0.123990812770764,18.4725968220974,100001,2.240239057,0,0.273564612457507,0
1,NaN,NaN,NaN,0,0,1,6.74412825786196,1
2,4.13617716571648,0.683458035738578,11.8281939207708,112160,2.109717423,2,3.7767650052502,2
3,6.86767417673135,2.84821360525473,13.5277618720013,124749,1.695734815,11,6.34462292659239,11
4,2.03934225536043,0.860021231930218,3.86323157731442,104307,1.071993242,8,1.18979863196363,8
5,0.626137402402805,0.323090821076137,1.06851488104868,120048,1.599475235,18,2.70732509614635,18
6,1.06505954968651,0.63754595728067,1.65145151329286,124242,1.936404393,31,1.77227107688901,31
7,2.22552841607381,1.6197504329995,2.97036502148165,138226,2.453527866,69,2.0442905683953,69
8,0.0854345099655038,0.0332348583991911,0.166312961351357,200237,3.509403029,5,0.110939548017747,5
9,0.20441254848979,0.10678137946186,0.341134131069046,184615,3.834686468,11,0.306824746891687,11
10,1.17287427584507,0.847491151188242,1.56510203239802,176764,3.872277922,45,1.52324614725499,45
11,0.933092482022064,0.637685330943819,1.28998319163126,161078,3.653206625,31,1.02752849699112,31
1,NaN,NaN,NaN,0,0,1,3.49436110040081,1
2,1.79630960335743,0.039109006540137,7.38554858578084,100001,1.646819823,0,0.381328337346053,0
3,3.02735164763383,0.31013429948526,9.70054126403439,106429,1.189651577,1,5.83207706635514,1
4,2.46548131792677,0.259070663558825,7.7147276473563,104041,1.221663506,1,0.906966074546025,1
5,0.672620654091906,0.0582253839818422,2.43059448150577,103304,1.416090977,1,1.36919842262341,1
6,1.84957213396396,0.416205165566744,4.87939596510729,116635,2.05407242,4,2.36118567406503,4
7,0.707411945188324,0.0797121922037859,2.13931760199603,103826,1.026297969,1,0.604382981638802,1
8,0.719402943766273,0.121619783742512,1.89728739354521,110373,2.24537287,2,1.02532226449151,2
9,1.99326354302236,0.719577082593804,4.0698883221726,138249,2.742747991,6,1.66200007392948,6
10,1.24741797854405,0.393473422472228,2.61347785636446,121653,2.945849889,4,0.42415650447388,4
11,5.01003868634053,3.19654030500783,7.25251033533625,252958,5.149086417,26,4.56528387652593,26
1,NaN,NaN,NaN,0,0,1,0.898825648582461,1
2,3.09282771259968,0.312011781224671,9.91814476992463,106353,1.889620807,1,6.51619691719797,1
3,1.21966162725202,0.0279157523094356,4.94108958099814,100002,1.276862532,0,0.448565319071133,0
4,4.13681911789465,0.938774486612397,10.4622746472679,111818,1.476764392,3,4.6241961926375,3
5,1.22566145133263,0.350952763232152,3.00968796849576,111226,1.732881581,6,1.22512440779455,6
6,4.05096789455837,2.05180752982963,7.01503939072169,156262,3.213850339,33,5.54717577631734,33
7,1.54504352783285,0.934053254273568,2.3421235442598,120248,1.998233146,23,1.94608357365933,23
8,3.7952566197611,3.03893478056606,4.65323749998409,277606,5.21559994,163,5.14181360115007,163
9,2.10473517460865,1.7758849277358,2.46499437464162,264285,4.597314814,171,2.30618954733491,171
10,0.310096820323931,0.216348124076076,0.42182923477275,268881,5.633402705,35,0.345272842058345,35
11,3.87359151058995,3.52195281825923,4.2382785521974,427060,8.961012563,494,3.63409957385239,494
