week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR,reportedWeeklyICheck
1,NaN,NaN,NaN,0,0,1,3.70791756220844,1
2,2.08690158109868,0.0704700132154437,7.92489895139517,2476,1.286181054,0,1.5960539963187,0
3,2.0254618816271,0.0732694404632226,7.32246713961163,2496,0.055324865,0,0.843982032441422,0
4,4.51848866436082,0.440867666873809,12.2190317598398,5298,0.092255513,1,0.915617397269444,1
5,1.72127854373682,0.0365315070151342,6.32902154592455,2941,0.065073902,0,2.21472513471265,0
6,3.2565853918788,0.3822659329508,9.12730503141013,5481,0.425438283,1,3.48239827938808,1
7,2.73064467725625,0.293056706367862,7.39851520821938,5932,0.134773637,1,1.08239804622387,1
8,2.12677041246322,0.26788636598209,5.9398356912926,6425,0.139590484,1,0.371892860324128,1
9,6.03455515836271,2.61103005278565,11.762721107377,27794,0.663644962,7,8.73054860495942,7
10,8.08640415675909,5.33602276279146,11.5630537032129,135541,3.234003605,31,5.39701158404264,31
11,0.700561323779025,0.312043213372233,1.24346638343761,70098,1.954160767,7,0.326562349030953,7
1,NaN,NaN,NaN,0,0,1,4.43578552526061,1
2,1.8988296378989,0.0565662759550713,6.92952663444042,2393,0.084262095,0,0.490981763483131,0
3,3.51342116528017,0.396047987080209,9.82574847577065,5018,0.10096203,1,1.7425016507094,1
4,1.44952183589628,0.0336193497407464,5.73694292998437,3443,0.067261948,0,2.61785455960239,0
5,7.22577351659578,2.79296669891631,14.1068897966565,23387,0.406862129,5,5.10763029409495,5
6,10.8406280178608,7.25407018844637,15.5369732241238,195502,3.563035049,31,7.433815192748,31
7,5.60300595592922,4.29964384280658,6.99589670784916,265670,5.423671349,73,5.12050502294804,73
8,2.21130726047295,0,9.97960619087736,504588,11.278647039,458,8.76354230521857,458
9,NaN,0,0,0,0,2255,8.55762325669531,2255
10,NaN,0,0,0,0,8660,7.41727021823324,8660
11,NaN,0,0,0,0,1333,0.377947866120295,1333
1,NaN,NaN,NaN,0,0,1,0.358610534328964,1
2,2.13533637024546,0.0709656192501111,8.39388719065019,2377,0.102484134,0,1.31250101041022,0
3,1.92478912393022,0.058364022689213,6.91937098867743,2552,0.05518962,0,1.92448760159428,0
4,2.55085996677748,0.0849365930185597,9.206606731669,1867,0.054428127,0,1.36226825115045,0
5,10.9980970991789,3.48264962725007,23.149887958175,52559,0.890720418,4,9.7683592516352,4
6,3.33273791200982,1.09061097342759,6.89055847038327,15735,0.304014898,4,4.64369340821133,4
7,0.731110131611763,0.100157773344516,2.06000515448064,14390,0.301867787,1,1.1793554271142,1
8,0.388993171459732,0.0099468170575579,1.3970994893409,12389,0.247439572,0,0.179660830547808,0
9,0.598711466315534,0.0130537165915694,2.19662561290981,8379,0.219658091,0,0.00627636839195542,0
10,2.10854234870644,0.247536695182495,5.79335875728558,6710,0.204755798,1,2.68226573122552,1
11,5.01136263927034,1.62778486056204,9.95364673488839,14590,0.380320749,4,0.886357964628452,4
1,NaN,NaN,NaN,0,0,1,3.0576049801412,1
2,2.11118972351755,0.0463645763690859,8.29594336521904,2429,0.086069008,0,0.244956686929217,0
3,1.95888483042686,0.0547610419222106,7.2415740401152,2462,0.053975054,0,6.24182830624956,0
4,2.68534928270527,0.0751630737325967,9.86687968091298,1822,0.066791898,0,1.10878071616564,0
5,3.53985833257205,0.0764721940459625,13.6930509671051,1422,0.043530988,0,1.46049211406703,0
6,4.14758470076437,0.119221187944835,15.4149255716519,1219,0.043436506,0,0.415314038238176,0
7,4.51596842465189,0.12045676751863,16.5209013872286,1079,0.053075266,0,1.2850338310681,0
8,5.06420640534525,0.113929583534874,18.5972593699997,1039,0.039276116,0,2.40347993774656,0
9,4.86583740147828,0.123502124129468,17.6719988332798,1013,0.045492915,0,2.34451412797682,0
10,5.03952237045909,0.153104718095006,17.5160616922098,1002,0.055987948,0,0.745017766300143,0
11,4.78313034068892,0.0577413662147165,20.5062170457485,1003,0.046948903,0,11.9426267943367,0
1,NaN,NaN,NaN,0,0,1,0.718759711114839,1
2,3.83643055970153,0.429359059369742,11.0603329216402,5083,0.143155593,1,3.52575712532834,1
3,4.40443187130061,1.15195814182691,9.55137006541538,12137,0.168027642,3,2.7759605355719,3
4,1.29155594205885,0.176119287069377,3.49675951154347,9698,0.175970344,1,1.57303202880804,1
5,6.02642930621762,3.36124739643082,9.84899363799048,49222,0.813523494,13,5.79002537825257,13
6,2.04246767449195,0.993379844044093,3.41391366740169,41311,0.771986688,10,1.34170710159048,10
7,0.636868592506842,0.217526958909894,1.34178347418785,45605,0.995293897,4,0.13334827106003,4
8,5.16984487418409,3.74920917981016,6.70201665325883,170274,3.765289984,49,4.30488924426346,49
9,0.614785140834626,0.321950451649674,1.01348714085581,105927,2.718414698,11,0.652217560187793,11
10,2.55978453966454,1.96188352664237,3.24610698539714,222796,5.411359273,61,1.76386384269111,61
11,1.64684351206372,1.23089563788602,2.10682005835268,260063,6.530451003,56,1.48848764066287,56
1,NaN,NaN,NaN,0,0,1,2.03849797455839,1
2,3.68127783512814,0.412449658577919,10.9701074989834,5114,0.117327824,1,9.08962791431746,1
3,1.27638786212045,0.0382058224586378,5.12611490948859,4005,0.072789293,0,0.373314378401313,0
4,5.51519666094134,1.70588859597351,11.6522701997954,15761,0.252209645,4,3.29612342660605,4
5,7.1854378639452,4.09959648843639,11.2363990374288,61167,1.05161485,15,4.38715284544554,15
6,3.81376560704871,2.47424382333917,5.50673186083378,80289,1.732520641,25,3.13243838811978,25
7,1.98375547136363,1.32676453887924,2.69919902614356,114588,2.35579845,27,1.98095624707365,27
8,0.892035762432062,0.549743802317622,1.35297975375403,124313,3.049922319,17,0.995761319158201,17
9,4.74877192731828,0,8.50484115068279,594764,14.177336819,229,7.10422729815074,229
10,NaN,0,0,0,0,243,2.42504152682137,243
11,NaN,0,0,0,0,146,0.966970848000512,146
1,NaN,NaN,NaN,0,0,1,6.22229234872912,1
2,15.9885864752484,8.34032087080282,28.0508598582612,278388,3.49581448,14,8.79153429738797,14
3,3.50103223604366,1.96461779230827,5.34248202109067,55310,1.154270801,16,4.87360787991278,16
4,4.93058416203393,3.70829628091484,6.40391224555491,191455,2.808495911,58,4.83199741736678,58
5,1.08028274460123,0,13.9805020388956,474848,8.273629248,624,12.4866057023626,624
6,NaN,0,0,0,0,207,0.905414855032181,207
7,NaN,0,0,0,0,483,1.26518988194604,483
8,NaN,0,0,0,0,845,1.82648873231602,845
9,NaN,0,0,0,0,12216,11.2945607612003,12216
10,NaN,0,0,0,0,28322,5.42548752511169,28322
11,NaN,0,0,0,0,170629,8.70172591470431,170629
1,NaN,NaN,NaN,0,0,3,3.53807603047752,3
2,0.976425429194468,0.0287972020495701,3.73907814354328,4932,0.18923101,0,0.799732079387344,0
3,3.17305754037848,0.878272250118622,6.98465294547005,12571,0.17180184,3,5.48964999424442,3
4,1.68194779996908,0.316891263814853,3.91812052131426,12118,0.186628988,2,0.944588236398062,2
5,0.500793632744715,0.0114736152728136,1.82173415944142,10142,0.507753462,0,0.485778715007451,0
6,2.82971310184657,0.977569824555665,5.90380586438165,16774,0.316133199,4,1.70228721216674,4
7,1.38828144917124,0.266456148710993,3.36367322062214,14076,0.333563939,2,1.4792783863656,2
8,4.70526062169617,2.62587279409371,7.55656054216442,47480,1.115743127,13,3.0914945482886,13
9,3.35011401698154,1.98264987224242,5.01745778950159,67177,1.784103891,20,2.14158997437298,20
10,1.15209786494772,0.577454623670266,1.80491290288427,74019,1.9207684,12,1.1118017190321,12
11,4.2187204451884,3.2286599316088,5.35218902709696,234285,5.547329006,67,3.88020605188908,67
1,NaN,NaN,NaN,0,0,1,9.85170886007793,1
2,6.60043951089091,1.74060608096162,14.7832497494239,13519,0.266022939,3,10.2510291645942,3
3,3.32870166344717,1.01583654421512,6.77925263346381,15937,0.254298329,4,1.59347946129425,4
4,0.397331833632221,0.00822600917366202,1.46208951731828,12401,0.230002716,0,0.32322793321041,0
5,2.81706214861976,1.10487513160056,5.31424961764059,24396,0.41144307,6,3.0079855528827,6
6,1.53690457293174,0.464214074896076,3.19426170000181,22080,0.464294679,4,1.81763607326606,4
7,4.4973217612096,2.82194669118953,6.67677078429273,69016,1.425497412,20,3.53913527849321,20
8,1.84248597948274,1.07137654520862,2.84223753532652,68148,1.976313985,16,1.5499358640098,16
9,0.159838832894408,0.0177580559648432,0.466648151012306,67021,1.626375742,1,0.0213029603377312,1
10,1.47302736641226,0.838983147609788,2.32580717354165,80182,2.160810847,15,1.5038988906931,15
11,6.76035137094976,5.38130113738581,8.2728897979121,374441,9.207337807,97,7.23658687618799,97
1,NaN,NaN,NaN,0,0,1,1.96715233143996,1
2,1.92607199219564,0.048144283613098,6.84571041103144,2426,0.088157186,0,2.15186213120288,0
