reportedWeeklyI,weeklyI,trueR
1.0,7.0,9.886618399819548
1.0,23.0,7.722643151091718
26.0,233.0,15.30802392693884
28.0,275.0,3.1024215414017293
178.0,1637.0,7.089832450852912
44.0,513.0,0.8812661191626753
194.0,2045.0,2.336551920141621
1325.0,13481.0,7.881032875506917
17219.0,170176.0,17.55366304814481
5962.0,59644.0,1.145650618244258
34324.0,342792.0,3.7211656200710492
2.0,7.0,9.886618399819548
5.0,23.0,7.722643151091718
49.0,233.0,15.30802392693884
46.0,275.0,3.1024215414017293
308.0,1637.0,7.089832450852912
110.0,513.0,0.8812661191626753
429.0,2045.0,2.336551920141621
2701.0,13481.0,7.881032875506917
34067.0,170176.0,17.55366304814481
11898.0,59644.0,1.145650618244258
68726.0,342792.0,3.7211656200710492
4.0,7.0,9.886618399819548
9.0,23.0,7.722643151091718
72.0,233.0,15.30802392693884
79.0,275.0,3.1024215414017293
516.0,1637.0,7.089832450852912
163.0,513.0,0.8812661191626753
636.0,2045.0,2.336551920141621
4016.0,13481.0,7.881032875506917
51618.0,170176.0,17.55366304814481
17874.0,59644.0,1.145650618244258
102545.0,342792.0,3.7211656200710492
2.0,7.0,9.886618399819548
10.0,23.0,7.722643151091718
100.0,233.0,15.30802392693884
111.0,275.0,3.1024215414017293
692.0,1637.0,7.089832450852912
215.0,513.0,0.8812661191626753
847.0,2045.0,2.336551920141621
5363.0,13481.0,7.881032875506917
67538.0,170176.0,17.55366304814481
23986.0,59644.0,1.145650618244258
136766.0,342792.0,3.7211656200710492
1.0,7.0,9.886618399819548
13.0,23.0,7.722643151091718
106.0,233.0,15.30802392693884
142.0,275.0,3.1024215414017293
799.0,1637.0,7.089832450852912
257.0,513.0,0.8812661191626753
1046.0,2045.0,2.336551920141621
6763.0,13481.0,7.881032875506917
85175.0,170176.0,17.55366304814481
29975.0,59644.0,1.145650618244258
171216.0,342792.0,3.7211656200710492
5.0,7.0,9.886618399819548
19.0,23.0,7.722643151091718
139.0,233.0,15.30802392693884
157.0,275.0,3.1024215414017293
961.0,1637.0,7.089832450852912
286.0,513.0,0.8812661191626753
1194.0,2045.0,2.336551920141621
8084.0,13481.0,7.881032875506917
101926.0,170176.0,17.55366304814481
35941.0,59644.0,1.145650618244258
205914.0,342792.0,3.7211656200710492
5.0,7.0,9.886618399819548
17.0,23.0,7.722643151091718
164.0,233.0,15.30802392693884
198.0,275.0,3.1024215414017293
1155.0,1637.0,7.089832450852912
362.0,513.0,0.8812661191626753
1429.0,2045.0,2.336551920141621
9553.0,13481.0,7.881032875506917
119283.0,170176.0,17.55366304814481
41641.0,59644.0,1.145650618244258
239641.0,342792.0,3.7211656200710492
6.0,7.0,9.886618399819548
19.0,23.0,7.722643151091718
189.0,233.0,15.30802392693884
220.0,275.0,3.1024215414017293
1323.0,1637.0,7.089832450852912
411.0,513.0,0.8812661191626753
