week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,weeklyI
1,NaN,NaN,NaN,0.0,0.0,1.0,1.0
2,3.4215641936076775,0.3116763965516519,11.117759540585842,1355.0,0.006425176,1.0,4.0
3,9.662715662251685,4.2145984823008185,18.198965942161518,3937.0,0.008470487,13.0,20.0
4,3.390651614757169,1.8566550631700156,5.277926728922953,1438.0,0.004156604,16.0,40.0
5,7.843523636577161,6.145951066021279,10.160823099108356,2622.0,0.016371099,102.0,192.0
6,0.46295515981334473,0.25112215372048785,0.680900736606286,1244.0,0.004394129,16.0,34.0
7,4.7578511078482935,4.145736156033295,5.485678790953276,2036.0,0.006388502,259.0,490.0
8,3.7985921088777284,3.431185918807176,4.361125702546555,1975.0,0.007872342,468.0,906.0
9,1.7990556113608747,1.6747980689938493,1.9837511897147366,2306.0,0.013311533,446.0,848.0
10,2.9315935749736934,2.751200543545372,3.1246164311786906,2683.0,0.019774304,1143.0,2149.0
11,0.6601029937538456,0.6017781530726493,0.7319242339780507,3621.0,0.016321545,402.0,712.0
1,NaN,NaN,NaN,0.0,0.0,1.0,1.0
2,3.4607484066780936,0.29250958743938077,11.009308986989438,1323.0,0.008762358,1.0,4.0
3,10.015393575380598,3.968864975660442,18.12897978386567,3928.0,0.017415533,13.0,20.0
4,3.416372899427776,1.8800728580006174,5.20184737720682,1424.0,0.016683874,16.0,40.0
5,7.875851380349279,5.93514364548001,9.98163489399984,2701.0,0.01005711,102.0,192.0
6,0.45791215352248155,0.2112498495367364,0.6779007900052941,1223.0,0.005626215,16.0,34.0
7,4.752004498603912,4.012190810768262,5.460415005079804,2046.0,0.006729086,259.0,490.0
8,3.79380449501524,3.398298746896684,4.15282007788592,2085.0,0.01153702,468.0,906.0
9,1.7931257034217636,1.6383296567028476,2.019940903519505,2242.0,0.013037443,446.0,848.0
10,2.9208744340265316,2.7949132039500375,3.1059326381935035,2661.0,0.012928709,1143.0,2149.0
11,0.6584894793455065,0.6007411461664813,0.7387018711241952,3771.0,0.019178246,402.0,712.0
1,NaN,NaN,NaN,0.0,0.0,1.0,1.0
2,3.5928421545675926,0.36244587217897223,12.171564615459452,1317.0,0.009430618,1.0,4.0
3,9.418648908087418,4.40436512669486,16.56981707185575,3971.0,0.026235339,13.0,20.0
4,3.366249057701747,1.7742034864664815,5.354775301998387,1520.0,0.006037992,16.0,40.0
5,7.709960759858869,5.845826594561984,9.837550282696377,2715.0,0.010065694,102.0,192.0
