week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,8,14
2,2018-05-10,0.3440038211555871,0.00781607369611784,1.3236719039154725,100002.0,0.077205742,0,0
3,2018-05-17,1.9280380399379846,0.5717282397523781,4.257720379370486,120961.0,0.168278777,4,7
4,2018-05-24,0.3267407192130967,0.007479830137746034,1.2471532384419257,100002.0,0.162258214,0,0
5,2018-05-31,0.46809483608723085,0.010916797672348235,1.7779303102237718,100002.0,0.3559493,0,0
6,2018-06-07,3.6678707561526833,1.0603613370860965,8.21618851759308,146684.0,0.172454615,4,7
7,2018-06-14,0.47844287183112166,0.012529995526187589,1.8228929909496407,100002.0,0.14742196,0,0
8,2018-06-21,1.8293738992303223,0.3454940901713271,4.737496121900318,116493.0,0.212429429,2,3
9,2018-06-28,4.4822625458461065,1.6785206851627064,9.031972907775174,165288.0,0.205593027,7,11
10,2018-07-05,1.6523688964781873,0.5743785220295623,3.4084107779322244,118415.0,0.144713965,5,8
11,2018-07-12,2.409249787183407,1.1111377050647537,4.294009394500241,129980.0,0.169321336,10,16
12,2018-07-19,0.7403287940684522,0.23613286955906038,1.5590986321115308,107422.0,0.118966622,4,7
13,2018-07-26,3.6260702704752474,2.149341911317406,5.610820688652992,152435.0,0.185659789,22,36
14,2018-08-02,3.5508527158742673,2.4210133569262258,4.950660908228216,152557.0,0.167343509,41,68
15,2018-08-09,3.3051356412065696,2.4944187467398704,4.251124687701635,148615.0,0.175242647,76,126
16,2018-08-16,0.40433184457767385,0.23750877530432793,0.6134679560998179,114866.0,0.127087299,17,28
17,2018-08-23,0.5103202800279595,0.3044512846358417,0.7623966205802264,113362.0,0.139560606,19,31
18,2018-08-30,0.746144348133148,0.47169807667894864,1.0948317349530454,112415.0,0.132024779,22,37
19,2018-09-06,0.5806865308977862,0.3242644933065766,0.9200494354151979,108629.0,0.143846191,14,24
20,2018-09-13,0.9633471017553481,0.5749366700676497,1.4511524611210724,112191.0,0.132105719,19,31
21,2018-09-20,1.982009067084166,1.3562122086422006,2.739159057250394,126331.0,0.152781373,37,62
22,2018-09-27,1.3823114759350337,0.9390407019431771,1.9112121200001737,118968.0,0.148824753,34,57
23,2018-10-04,1.4759296090893204,1.0487223436364548,1.9841162056547625,121052.0,0.15708928,43,72
24,2018-10-11,1.1246486445438324,0.7902916370436883,1.5321462912586452,118649.0,0.141562588,39,65
25,2018-10-18,1.8681122113750095,1.4206388808282553,2.393166337805886,129765.0,0.162588781,70,116
26,2018-10-25,1.1836480224648516,0.8856206061572887,1.5214426174439555,125852.0,0.149834054,58,96
27,2018-11-01,0.9762301080911331,0.7246420461484453,1.2719984164822906,126019.0,0.159656078,53,88
28,2018-11-08,1.2949505002908486,1.0000278511413514,1.6386664289219093,129671.0,0.145061091,71,119
29,2018-11-15,0.8683894536301783,0.6403074070478176,1.1285204008494643,128497.0,0.132850212,52,87
30,2018-11-22,0.9842777001019684,0.7433362271942774,1.2608554157800098,128045.0,0.143605191,57,95
31,2018-11-29,1.3965575887261321,1.0947878799163495,1.7362481281135593,132146.0,0.164329672,80,134
32,2018-12-06,1.0962865674308917,0.8460006232933858,1.3880596252404374,133005.0,0.16942387,71,119
33,2018-12-13,0.6767053135851175,0.49337208671796257,0.8934419004901,132163.0,0.151878736,46,77
34,2018-12-20,0.6778602869296597,0.4850259293896058,0.9073040765021977,127586.0,0.143026755,41,68
35,2018-12-27,0.6629072549339683,0.45701777088262685,0.9139249638750493,122487.0,0.140244432,34,56
36,2019-01-03,1.2615833244470251,0.9386018711167641,1.638083433650223,124142.0,0.147257761,55,92
37,2019-01-10,1.272305857465894,0.9511755499876079,1.6380263869731975,125035.0,0.143797448,58,97
38,2019-01-17,0.9772029222234591,0.7141542800018504,1.2803021183882541,124266.0,0.152023133,49,82
39,2019-01-24,1.203204249146945,0.9107509349690589,1.5494848697380428,126726.0,0.158185956,61,101
40,2019-01-31,0.4914891455954114,0.31960229128589873,0.6984609759902407,122012.0,0.172879777,26,44
41,2019-02-07,1.0092185800096451,0.7280636543729977,1.3367019396525768,121500.0,0.119643487,45,75
42,2019-02-14,1.1998738733993333,0.8788496093878406,1.5724197725349243,122745.0,0.141871039,51,85
43,2019-02-21,1.2202385380450642,0.906166122602877,1.5775797747824682,124262.0,0.14540029,55,91
44,2019-02-28,1.2107042723056443,0.9082419134295684,1.553112807905294,126100.0,0.151518704,59,98
45,2019-03-07,1.1323633172707737,0.8506088999564826,1.4569603543490257,126907.0,0.148428958,60,100
46,2019-03-14,1.9601236715527173,1.5794315551097293,2.3768937105028014,138308.0,0.161290973,111,185
47,2019-03-21,1.3038902245573056,1.0434607883926972,1.587968391345991,141042.0,0.157087964,99,165
48,2019-03-28,1.2117247260671178,0.9822965729213716,1.4683138208288538,146230.0,0.155271801,107,179
49,2019-04-04,1.565480432923234,1.308423691912525,1.8360752640435312,153679.0,0.163967369,152,254
50,2019-04-11,1.1861062008185048,0.9873905788126907,1.4089368154818813,161787.0,0.162766749,140,234
51,2019-04-18,1.490863312849087,1.2715175640746497,1.7297738802765685,167816.0,0.163037422,194,323
52,2019-04-25,1.0418649226933534,0.8818769204624297,1.2208730342713625,182050.0,0.22380371,161,268
53,2019-05-02,1.1657927181038374,1.0018188107061845,1.347379467838422,184589.0,0.352788488,189,315
54,2019-05-09,0.8081448276736203,0.6741529332295633,0.9548859809329674,192989.0,0.188965361,139,232
