week,meanRt,lowerRt,upperRt,reportedWeeklyI
1,NaN,NaN,NaN,1.0
2,0.9642467278318316,0.14841158885753028,2.5170838670038833,1.0
1,NaN,NaN,NaN,1.0
2,1.0069713405101925,0.15170503839891106,2.6652997172424864,1.0
1,NaN,NaN,NaN,1.0
2,1.0269681070838432,0.1470149562502031,2.7778496483587487,1.0
1,NaN,NaN,NaN,1.0
2,1.0617355098702657,0.1517925023260131,2.926599561351606,1.0
1,NaN,NaN,NaN,1.0
2,1.076754920000685,0.15437712346903026,3.023984479880384,1.0
1,NaN,NaN,NaN,1.0
2,1.0775173104143643,0.14817125590446392,3.049444780018987,1.0
1,NaN,NaN,NaN,1.0
2,1.1080977178632274,0.14950567614832136,3.1332169688064675,1.0
1,NaN,NaN,NaN,1.0
2,1.125603351538765,0.15220856741506292,3.1945676098336384,1.0
1,NaN,NaN,NaN,1.0
2,1.130390827799473,0.14236801695497878,3.2546495500700328,1.0
1,NaN,NaN,NaN,1.0
2,1.1176713254191168,0.14591623507390966,3.174077373698727,1.0
1,NaN,NaN,NaN,1.0
2,1.1315201302847888,0.14497043327768652,3.238260603505338,1.0
1,NaN,NaN,NaN,1.0
2,1.1492041632754322,0.14020175512804248,3.29566402023226,1.0
1,NaN,NaN,NaN,1.0
2,1.1582900693923748,0.14032836212440408,3.4737346991815015,1.0
1,NaN,NaN,NaN,1.0
2,1.157905983973895,0.1488516017204973,3.4012980623727778,1.0
1,NaN,NaN,NaN,1.0
2,1.1674682564561778,0.14580627177216623,3.470651508213709,1.0
1,NaN,NaN,NaN,1.0
2,1.2008278075831211,0.14108753734705787,3.607290920410326,1.0
1,NaN,NaN,NaN,1.0
2,1.1791710415496834,0.1295039940642077,3.471272847379594,1.0
1,NaN,NaN,NaN,1.0
2,1.211317647947584,0.14174279411653856,3.5757881906828253,1.0
1,NaN,NaN,NaN,1.0
2,1.2224367629087698,0.1346719806456755,3.6610878767085913,1.0
1,NaN,NaN,NaN,2.0
2,0.9689464054591042,0.26598732144084675,2.1043182592483722,2.0
1,NaN,NaN,NaN,2.0
2,1.006397580773924,0.2570930663848257,2.276643919607308,2.0
1,NaN,NaN,NaN,2.0
2,1.0391755120422679,0.25789906355240466,2.429055335946016,2.0
1,NaN,NaN,NaN,2.0
2,1.0615146989553317,0.2536328605352744,2.536034283250302,2.0
1,NaN,NaN,NaN,2.0
2,1.0853483741112118,0.24934929497082936,2.628765251785276,2.0
1,NaN,NaN,NaN,2.0
2,1.1171203444023636,0.2540745287480722,2.786716366081665,2.0
1,NaN,NaN,NaN,2.0
2,1.1236840925122769,0.253849424552749,2.8079388362651065,2.0
1,NaN,NaN,NaN,2.0
2,1.1398430543835267,0.25533480737837577,2.858678640286654,2.0
1,NaN,NaN,NaN,2.0
2,1.1648105672224773,0.24434333596100785,2.993260888894505,2.0
1,NaN,NaN,NaN,2.0
2,1.1801755692345424,0.24933548787530246,3.0642834370912015,2.0
1,NaN,NaN,NaN,2.0
2,1.1740136330240618,0.23921610780251665,3.036591984391848,2.0
1,NaN,NaN,NaN,2.0
2,1.1960110432118332,0.2436615008208456,3.1127745654668333,2.0
1,NaN,NaN,NaN,2.0
2,1.2054200561922266,0.24999271483108348,3.160222173926143,2.0
1,NaN,NaN,NaN,2.0
2,1.221232521531456,0.2340889999935514,3.2872422820503786,2.0
1,NaN,NaN,NaN,2.0
2,1.2080403608114085,0.23988930299317118,3.2426018439603705,2.0
1,NaN,NaN,NaN,2.0
2,1.2187478251127992,0.23467637694134436,3.3351305281295884,2.0
1,NaN,NaN,NaN,2.0
2,1.2324154732857715,0.2361644588523926,3.2996435875387893,2.0
1,NaN,NaN,NaN,2.0
2,1.2410765438418174,0.21983725431230292,3.439447881113798,2.0
1,NaN,NaN,NaN,2.0
2,1.2467056126597036,0.22542830584693568,3.3835240849554884,2.0
1,NaN,NaN,NaN,3.0
2,0.9795086192736476,0.34807527611782985,1.902397175811168,3.0
1,NaN,NaN,NaN,3.0
2,0.9923642851226093,0.33947142101518124,2.0112396411748965,3.0
1,NaN,NaN,NaN,3.0
2,1.0255237848647103,0.33604303870933877,2.110140870576826,3.0
1,NaN,NaN,NaN,3.0
2,1.0478994087895441,0.33833423950052094,2.1951650169723944,3.0
1,NaN,NaN,NaN,3.0
2,1.0763761828681107,0.33336123379076016,2.3261052740320456,3.0
1,NaN,NaN,NaN,3.0
2,1.0824820716028416,0.321042162809285,2.3921958370892322,3.0
1,NaN,NaN,NaN,3.0
2,1.1106528863715277,0.32918891196975,2.5216369485503023,3.0
1,NaN,NaN,NaN,3.0
2,1.1322089730200715,0.32551896383426443,2.6030717924257543,3.0
