reportedWeeklyI,weeklyI,trueR
1.0,20.0,1.632542765735789
3.0,20.0,2.262744148912341
3.0,25.0,1.5839677719256797
2.0,30.0,1.4572056523602963
23.0,175.0,6.156282654450413
1.0,28.0,0.41302638497250327
12.0,94.0,1.1166256017154306
0.0,10.0,0.08592786815679837
17.0,154.0,2.4954358147643028
5.0,46.0,0.6011310816433605
0.0,15.0,0.15406557144317087
6.0,20.0,1.632542765735789
4.0,20.0,2.262744148912341
5.0,25.0,1.5839677719256797
6.0,30.0,1.4572056523602963
39.0,175.0,6.156282654450413
5.0,28.0,0.41302638497250327
16.0,94.0,1.1166256017154306
5.0,10.0,0.08592786815679837
37.0,154.0,2.4954358147643028
13.0,46.0,0.6011310816433605
2.0,15.0,0.15406557144317087
6.0,20.0,1.632542765735789
11.0,20.0,2.262744148912341
10.0,25.0,1.5839677719256797
10.0,30.0,1.4572056523602963
58.0,175.0,6.156282654450413
11.0,28.0,0.41302638497250327
32.0,94.0,1.1166256017154306
4.0,10.0,0.08592786815679837
45.0,154.0,2.4954358147643028
14.0,46.0,0.6011310816433605
4.0,15.0,0.15406557144317087
9.0,20.0,1.632542765735789
6.0,20.0,2.262744148912341
7.0,25.0,1.5839677719256797
9.0,30.0,1.4572056523602963
71.0,175.0,6.156282654450413
10.0,28.0,0.41302638497250327
36.0,94.0,1.1166256017154306
5.0,10.0,0.08592786815679837
59.0,154.0,2.4954358147643028
23.0,46.0,0.6011310816433605
7.0,15.0,0.15406557144317087
9.0,20.0,1.632542765735789
11.0,20.0,2.262744148912341
12.0,25.0,1.5839677719256797
13.0,30.0,1.4572056523602963
90.0,175.0,6.156282654450413
11.0,28.0,0.41302638497250327
39.0,94.0,1.1166256017154306
7.0,10.0,0.08592786815679837
80.0,154.0,2.4954358147643028
23.0,46.0,0.6011310816433605
7.0,15.0,0.15406557144317087
15.0,20.0,1.632542765735789
11.0,20.0,2.262744148912341
8.0,25.0,1.5839677719256797
17.0,30.0,1.4572056523602963
104.0,175.0,6.156282654450413
16.0,28.0,0.41302638497250327
66.0,94.0,1.1166256017154306
4.0,10.0,0.08592786815679837
92.0,154.0,2.4954358147643028
25.0,46.0,0.6011310816433605
9.0,15.0,0.15406557144317087
17.0,20.0,1.632542765735789
14.0,20.0,2.262744148912341
18.0,25.0,1.5839677719256797
19.0,30.0,1.4572056523602963
113.0,175.0,6.156282654450413
22.0,28.0,0.41302638497250327
61.0,94.0,1.1166256017154306
5.0,10.0,0.08592786815679837
99.0,154.0,2.4954358147643028
31.0,46.0,0.6011310816433605
11.0,15.0,0.15406557144317087
14.0,20.0,1.632542765735789
17.0,20.0,2.262744148912341
22.0,25.0,1.5839677719256797
23.0,30.0,1.4572056523602963
144.0,175.0,6.156282654450413
21.0,28.0,0.41302638497250327
71.0,94.0,1.1166256017154306
5.0,10.0,0.08592786815679837
119.0,154.0,2.4954358147643028
40.0,46.0,0.6011310816433605
13.0,15.0,0.15406557144317087
20.0,20.0,1.632542765735789
17.0,20.0,2.262744148912341
23.0,25.0,1.5839677719256797
26.0,30.0,1.4572056523602963
158.0,175.0,6.156282654450413
23.0,28.0,0.41302638497250327
86.0,94.0,1.1166256017154306
7.0,10.0,0.08592786815679837
140.0,154.0,2.4954358147643028
42.0,46.0,0.6011310816433605
13.0,15.0,0.15406557144317087
1.0,11.0,1.6538570717150496
1.0,11.0,3.1916756083733624
2.0,6.0,0.9618721463490468
1.0,6.0,0.8317061260320392
0.0,5.0,0.7606472902549379
3.0,17.0,2.331384876771287
1.0,6.0,0.5929880830727318
5.0,42.0,3.810080262538818
3.0,23.0,1.6084129983610829
2.0,35.0,1.524455930513298
18.0,115.0,3.6470642139158724
2.0,11.0,1.6538570717150496
3.0,11.0,3.1916756083733624
1.0,6.0,0.9618721463490468
0.0,6.0,0.8317061260320392
2.0,5.0,0.7606472902549379
2.0,17.0,2.331384876771287
1.0,6.0,0.5929880830727318
10.0,42.0,3.810080262538818
6.0,23.0,1.6084129983610829
8.0,35.0,1.524455930513298
29.0,115.0,3.6470642139158724
4.0,11.0,1.6538570717150496
1.0,11.0,3.1916756083733624
3.0,6.0,0.9618721463490468
1.0,6.0,0.8317061260320392
1.0,5.0,0.7606472902549379
6.0,17.0,2.331384876771287
3.0,6.0,0.5929880830727318
13.0,42.0,3.810080262538818
4.0,23.0,1.6084129983610829
13.0,35.0,1.524455930513298
35.0,115.0,3.6470642139158724
5.0,11.0,1.6538570717150496
8.0,11.0,3.1916756083733624
4.0,6.0,0.9618721463490468
4.0,6.0,0.8317061260320392
2.0,5.0,0.7606472902549379
6.0,17.0,2.331384876771287
2.0,6.0,0.5929880830727318
14.0,42.0,3.810080262538818
11.0,23.0,1.6084129983610829
17.0,35.0,1.524455930513298
43.0,115.0,3.6470642139158724
5.0,11.0,1.6538570717150496
5.0,11.0,3.1916756083733624
3.0,6.0,0.9618721463490468
4.0,6.0,0.8317061260320392
2.0,5.0,0.7606472902549379
7.0,17.0,2.331384876771287
3.0,6.0,0.5929880830727318
27.0,42.0,3.810080262538818
12.0,23.0,1.6084129983610829
15.0,35.0,1.524455930513298
50.0,115.0,3.6470642139158724
8.0,11.0,1.6538570717150496
10.0,11.0,3.1916756083733624
2.0,6.0,0.9618721463490468
3.0,6.0,0.8317061260320392
2.0,5.0,0.7606472902549379
15.0,17.0,2.331384876771287
2.0,6.0,0.5929880830727318
24.0,42.0,3.810080262538818
20.0,23.0,1.6084129983610829
23.0,35.0,1.524455930513298
