week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence,trueR
5,2.7636902132261163,2.295031584670265,3.279432864466078,359623.0,5.729747264,117.0,2.9563087174812996
6,8.411313141155052,7.776978708418448,9.091228677421318,6.550826e6,102.278520144,784.0,8.128376556555605
7,0.5290555965203879,0.4484214397429203,0.6203362173381344,1.091222e6,18.411484477,145.0,0.47612616639153726
8,8.511797623557525,8.259217953415268,8.773667590591971,3.6972919e7,665.078044627,4303.0,8.465663206439567
9,1.5422597310634818,1.481014912735147,1.605708200092181,8.196584e6,157.777705868,2352.0,1.5286846588804155
10,3.2915563679734197,3.2172569882793067,3.364100321587802,2.7770818e7,553.139588494,8443.0,3.3578117446814346
11,1.4496705646618213,1.412810099809122,1.4874291534645907,2.3962009e7,479.227213399,6366.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,3.0,8.66503087629739
2,9.301411383451532,5.254570889506205,14.741725357953422,227101.0,2.761784923,16.0,7.316251164735972
3,9.725831510151846,7.608453692907587,12.109321378743942,930376.0,12.426749739,83.0,8.769448651171299
4,1.4503448895814037,1.0387870953899347,1.8854000370365684,159327.0,2.114070193,43.0,1.3151916925663405
5,3.1360347112967273,2.668391497708714,3.6464258904286386,485657.0,7.772704351,158.0,2.9563087174812996
6,8.298784982413444,7.714177062843361,8.906529567078152,8.053859e6,125.806183145,974.0,8.128376556555605
7,0.5327208221752496,0.45879610659158515,0.610703125453535,1.29475e6,21.968236246,183.0,0.47612616639153726
8,8.496996847697048,8.248141521290478,8.748520282892132,4.6367338e7,836.295650048,5377.0,8.465663206439567
9,1.569322124172786,1.5123228321554911,1.6286993359861184,1.0089708e7,192.862734861,2994.0,1.5286846588804155
10,3.2716640502302887,3.209414093932614,3.334737000601401,3.2971358e7,659.195166793,10540.0,3.3578117446814346
11,1.4604219535861789,1.4285094807720502,1.490609629318937,2.8693458e7,565.48484152,8039.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,6.0,8.66503087629739
2,7.079028605372386,4.151530250506806,10.752483254795608,124459.0,1.750972971,19.0,7.316251164735972
3,9.297626851575739,7.401776250167849,11.491444345520259,1.081966e6,14.393051312,104.0,8.769448651171299
4,1.586483572480177,1.1986306811326797,2.008262651346704,193521.0,2.678205935,60.0,1.3151916925663405
5,2.9571339375814842,2.566696137878782,3.389869993743632,575117.0,8.787601643,190.0,2.9563087174812996
6,7.799147476448603,7.332766629328811,8.277512982796578,7.657232e6,119.685560403,1117.0,8.128376556555605
7,0.5294025814896591,0.4594205291139064,0.6012873462118309,1.525172e6,25.883735017,212.0,0.47612616639153726
8,8.619718084561207,8.383246150879554,8.840177549049058,5.4222579e7,975.606866638,6338.0,8.465663206439567
9,1.571630781721925,1.5174581477053417,1.6215987958947489,1.2484157e7,234.370457529,3524.0,1.5286846588804155
10,3.3229751869517608,3.268442144384617,3.3835109505743284,4.3001408e7,857.307367271,12629.0,3.3578117446814346
11,1.4875017505445733,1.4577683318035262,1.518342570097523,3.4741383e7,684.924325476,9753.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,3.0,8.66503087629739
2,12.14410967817995,7.524796572347526,18.579647725741687,782028.0,9.216555796,24.0,7.316251164735972
3,10.053976955204572,8.210374218914783,12.195638216876477,1.502152e6,19.699874534,118.0,8.769448651171299
4,1.5290978759207206,1.1908448233726492,1.9104370255087948,237311.0,3.581743672,65.0,1.3151916925663405
5,3.087227527407707,2.709327660479457,3.526778830956567,695503.0,10.772430121,225.0,2.9563087174812996
6,7.930050166437311,7.48938960999297,8.408540520228925,9.71565e6,155.543853454,1319.0,8.128376556555605
7,0.523021775804336,0.4550005351567639,0.5921219319863614,1.637889e6,28.530206455,247.0,0.47612616639153726
8,8.683383156144354,8.462571349721603,8.89200391959986,6.422271e7,1171.969652451,7538.0,8.465663206439567
9,1.5439187962747598,1.4981325080193724,1.5906642696570368,1.4531244e7,273.896539874,4106.0,1.5286846588804155
10,3.286795864610635,3.23309438687941,3.341411546437507,4.9986101e7,991.50242168,14730.0,3.3578117446814346
11,1.4622512540555308,1.4376220751895685,1.4896160279311688,4.1877536e7,808.710323604,11212.0,1.4771924355121295
1,NaN,NaN,NaN,0.0,0.0,5.0,8.66503087629739
2,9.240112423023774,5.877470182896999,13.646344342814755,276241.0,3.220428019,24.0,7.316251164735972
3,10.231228321518559,8.554799974612205,12.224155365555452,1.677648e6,21.400526045,134.0,8.769448651171299
4,1.568887668487785,1.2127782956719089,1.9688384151285288,271197.0,3.503272058,75.0,1.3151916925663405
5,3.173590570562182,2.801347676702052,3.5522519855722137,836244.0,12.073847975,264.0,2.9563087174812996
6,7.9065422698378764,7.466495689670024,8.346217088987451,1.0824854e7,164.933065577,1519.0,8.128376556555605
7,0.5462473346439545,0.48477495708542373,0.607323938105863,2.107247e6,35.305811189,298.0,0.47612616639153726
8,8.628310568865919,8.443371523263957,8.806944107711587,7.8201476e7,1375.824429886,8673.0,8.465663206439567
