week,date,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedWeeklyI,trueWeeklyI
3,2018-05-17,4.9095372290698585,1.8403162771288513,9.426508350292265,22020.0,0.824399296,2,6
4,2018-05-24,0.3898026152647663,0.010431753432385784,1.4469704157094743,12664.0,0.707959202,0,0
5,2018-05-31,0.42753959797671237,0.013365966431786428,1.5536294294202317,11698.0,0.683485089,0,0
6,2018-06-07,5.907718451049075,3.0120704624203354,9.914433230858807,44508.0,1.066366622,2,11
7,2018-06-14,0.24075168373796518,0.007006921652174783,0.8615544685088864,20887.0,0.778683339,0,0
8,2018-06-21,0.7354625148431438,0.13682519268719903,1.728557276241008,23183.0,0.846613713,1,2
9,2018-06-28,1.8697262511943658,0.693501373935012,3.620717288397682,26180.0,1.103624022,3,5
10,2018-07-05,0.8629913888365607,0.18629671788698499,2.107365745630212,21022.0,0.733775112,1,2
11,2018-07-12,3.038212585007887,1.5005150529507496,5.2219952518367085,36436.0,1.124662029,4,10
12,2018-07-19,1.8386287942895838,0.8432775737967305,3.099452006898693,40267.0,1.359371263,4,9
13,2018-07-26,3.99790395950224,2.7386297197113967,5.516280167812488,115019.0,3.459285893,14,33
14,2018-08-02,3.0196753255360864,2.2518821860898233,3.9451778131616866,172114.0,4.397491856,23,51
15,2018-08-09,2.9581820045151193,2.3945934147188046,3.60987041383108,312435.0,8.287822603,37,95
16,2018-08-16,0.6117698302535967,0.4123998840513524,0.8390808564539729,308649.0,7.765351744,10,31
17,2018-08-23,0.5736365452423476,0.3928352008432189,0.7961522111533662,303741.0,8.042497879,15,30
18,2018-08-30,0.7374793310888739,0.521561132008891,1.0132633172539212,276140.0,6.965051596,9,32
19,2018-09-06,0.4517773326865551,0.26131836044420514,0.6806772499205568,208906.0,5.797320068,10,16
20,2018-09-13,1.1000593462845583,0.7676079005489974,1.5264818137008203,195504.0,5.047605359,12,32
21,2018-09-20,1.9660284189266584,1.485080028212751,2.5252767898123545,239429.0,6.574791902,24,57
22,2018-09-27,1.2854637666485327,0.9046970735778928,1.6692369148511943,269362.0,6.780883699,20,47
23,2018-10-04,1.512600278901356,1.2067385697024071,1.8928124097874903,342595.0,9.098738634,27,67
24,2018-10-11,1.505171598635354,1.193937153939887,1.8545008469397497,367990.0,9.29147099,34,80
25,2018-10-18,1.3792062478228966,1.1161629740758279,1.6843995000191085,477460.0,12.16453275,44,89
26,2018-10-25,1.0972176914495497,0.8615963327106986,1.3285271296840837,476393.0,11.900934428,37,82
27,2018-11-01,0.993341380690141,0.7895638415756971,1.228373922955025,515839.0,13.096759431,30,79
28,2018-11-08,1.2865404811556596,1.0440692078287388,1.554212082429338,564619.0,14.065615785,36,105
29,2018-11-15,0.9413276912240806,0.7449471242691821,1.1508171310409254,574656.0,14.424107237,35,82
30,2018-11-22,1.0383898251756358,0.8321829056134628,1.2591501637472264,561003.0,14.077725591,31,92
31,2018-11-29,1.5388779257146656,1.2891415285668266,1.8028359071504578,674142.0,16.694840199,56,142
32,2018-12-06,0.9672110439036286,0.7877269792299603,1.1557037445241325,726454.0,18.103787987,44,101
33,2018-12-13,0.4618925614517498,0.3295541200311413,0.5893894132440124,607022.0,15.211116672,22,49
34,2018-12-20,0.9991353839240324,0.8008537813951117,1.2092634342012984,596528.0,14.965465104,30,91
35,2018-12-27,0.8349133498054109,0.6434506026912821,1.0370264532521996,526305.0,13.269597666,28,69
36,2019-01-03,0.9304617544781024,0.7493659906586895,1.15323918274417,514610.0,13.161739448,37,72
37,2019-01-10,1.5226503939017424,1.2456985472405337,1.8094386686998172,570080.0,14.353147779,36,117
38,2019-01-17,0.8896993357390571,0.6977302538932478,1.087837842519583,553105.0,13.840681995,34,76
39,2019-01-24,1.1747301882850847,0.9659958291434324,1.3930920120065302,591614.0,14.890621465,41,104
40,2019-01-31,0.7213340613731795,0.553919649621478,0.9101535916568955,562805.0,14.092383595,25,65
41,2019-02-07,0.811016885364285,0.6361862910719134,1.0188856238619473,512894.0,12.871655173,24,68
42,2019-02-14,0.9432633933513679,0.7402960538649462,1.1687501898014458,494789.0,12.478422435,31,72
43,2019-02-21,1.0619736750346063,0.8379068764008926,1.3081181819140604,520659.0,13.224712802,29,77
44,2019-02-28,1.5426346604340673,1.2749369505969794,1.8489708546600363,598046.0,14.943668275,34,116
45,2019-03-07,1.2628492385076755,1.0374321625600318,1.5081686105063281,579379.0,14.560583576,44,111
46,2019-03-14,1.9765816594478562,1.7126931345430556,2.2470999421950024,850830.0,21.219079553,78,207
47,2019-03-21,1.2023949635269149,1.0212935517496429,1.389128606848814,990681.0,24.148228753,68,164
48,2019-03-28,1.3579938908684828,1.1815195579962172,1.5412258611480028,1.102736e6,27.472332121,85,217
49,2019-04-04,1.4910247700779269,1.324226638587757,1.6736655738081114,1.33318e6,31.995890953,107,275
50,2019-04-11,1.140473340661498,0.997325015608575,1.2710272990628315,1.581299e6,39.674980703,99,248
51,2019-04-18,1.29698791504974,1.1572276457990938,1.4381484879761255,1.667103e6,39.940697246,125,312
52,2019-04-25,0.941075350624459,0.8281360744967234,1.063257770336379,1.734949e6,43.189182998,101,249
53,2019-05-02,1.268191986746281,1.1328235281208208,1.4055587797746159,1.962964e6,46.823493161,136,345
54,2019-05-09,0.8391184135558989,0.7389410768432764,0.9444958732703921,1.736708e6,43.171014058,94,242
55,2019-05-16,0.7816054022451071,0.6825897672246104,0.886937580074905,1.759309e6,42.082923914,87,219
56,2019-05-23,0.6183202418908916,0.5189638104832482,0.7173747895217287,1.504327e6,37.423944191,63,156
57,2019-05-30,0.8332403445029959,0.7203651215710479,0.9511726357770517,1.252288e6,30.147314519,77,180
58,2019-06-06,1.1725012029891266,1.0229959349970232,1.3262120312449985,1.361861e6,33.904783915,92,230
59,2019-06-13,0.9004651225158793,0.7758203753975249,1.0381771106522668,1.241569e6,29.881677256,74,178
60,2019-06-20,1.2082226403951664,1.0594708765580623,1.3640028474859844,1.364703e6,33.918205234,95,240
61,2019-06-27,1.2039540018233212,1.0623648308221687,1.348168488146011,1.396097e6,33.462404753,85,253
62,2019-07-04,0.8573111151834699,0.7360530346464066,0.9866596016929774,1.436728e6,35.824245417,79,192
63,2019-07-11,1.078103619679343,0.9436234825770285,1.2235524649651486,1.438658e6,34.621856794,94,239
64,2019-07-18,0.9918220731435826,0.8571963630624814,1.1317388499630536,1.419502e6,35.503655664,90,221
65,2019-07-25,0.7548218574386403,0.6386542065831915,0.8768559312093033,1.288085e6,30.992613798,69,166
66,2019-08-01,0.9011966764878471,0.7782564647127219,1.0235787617840766,1.265936e6,31.4062345,73,184
67,2019-08-08,0.7858312748431364,0.6649464239873363,0.911656318198053,1.281445e6,30.842854968,66,148
68,2019-08-15,1.0208192367631557,0.8783480030438908,1.1780232203246754,1.250642e6,31.153203209,70,179
69,2019-08-22,1.0153294046539427,0.8739530111007352,1.1592945211738406,1.08579e6,26.32422599,63,173
70,2019-08-29,0.5425372196761905,0.4400302967438066,0.662488026805804,1.004517e6,25.028724444,37,90
71,2019-09-05,0.8272074840136485,0.684614851591807,0.9875386336333883,856230.0,20.874996938,45,119
72,2019-09-12,0.8756072171116055,0.7225589537729403,1.0356650832040843,790002.0,19.871422139,34,111
73,2019-09-19,0.5004572984025647,0.3817367763524436,0.6370375301515282,614259.0,15.295970845,19,57
74,2019-09-26,0.4663033245309457,0.34616289719626125,0.615078722037314,515149.0,12.980254922,19,43
75,2019-10-03,0.45013027166573216,0.30332536990032843,0.6263391465546764,388320.0,10.139117861,13,31
1,2018-05-03,NaN,NaN,NaN,0.0,0.0,2,5
