week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.794361585953631,0.039387464236722625,7.327069467694101,100001.0,1.881794448,0.0
3,1.7598231676728202,0.03899578155109085,7.239412877450024,100001.0,1.574101516,0.0
4,3.4509924638673697,0.3600533902319974,10.915186610075107,109040.0,1.411620107,1.0
5,0.6147735137470198,0.010263774313676742,2.9399284995021495,100114.0,1.543169067,0.0
6,1.6338300937271955,0.1309131378182571,5.826076886772349,108737.0,1.798961353,1.0
7,1.8179180623645341,0.18033085312153865,5.87783736826943,111314.0,2.312474887,1.0
8,1.1951467647165248,0.12324027431137946,3.8135488341101036,111616.0,2.126931609,1.0
9,4.191546371983902,1.5059302457692048,8.659337979978917,204167.0,3.605538317,7.0
10,7.199852340933264,4.612159914619603,10.470436750557974,382209.0,7.13943092,31.0
11,0.6810836558403869,0.2875719715212517,1.244710221757709,118536.0,2.404530792,7.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.798657048593741,0.04128510458234982,7.388843148507483,100001.0,1.55189567,0.0
3,3.032960501465556,0.30661938027764946,9.764635014696054,106369.0,1.342365918,1.0
4,1.3756766003279197,0.030640861719172536,5.473139796623197,100002.0,1.394311989,0.0
5,2.463358992065115,0.538667949839594,7.000598070489871,123750.0,1.749615832,5.0
6,6.721529030043661,3.285532831867076,11.808213898397957,223133.0,3.597793914,31.0
7,5.0930818685250925,3.702487944690622,6.733758514352527,178670.0,3.348196359,73.0
8,6.018596374750927,5.194742531202965,6.892597061150537,483879.0,6.956313547,458.0
9,8.384818933207995,7.902195117618375,8.854999422031154,1.107495e6,15.80674406,2255.0
10,7.65412229357605,7.472297625978502,7.847928849593978,1.622418e6,25.105436628,8660.0
11,0.40710143555057665,0.38510421165997877,0.42990091932154095,2.229167e6,34.072289216,1333.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.7939474111686977,0.0404999734087019,7.298764417534413,100001.0,1.546509322,0.0
3,1.7651124125480326,0.03743637038984607,7.205857666059157,100001.0,1.310921135,0.0
4,2.0458956728544377,0.04452530779594853,8.25754923114167,100001.0,1.44872358,0.0
5,3.5090731079478044,0.6185160186802954,10.863003765692136,142415.0,1.937692589,4.0
6,2.2103833317674395,0.5686043603937011,5.282780311345854,121241.0,2.399289792,4.0
7,0.6778544630908305,0.07853703974616494,1.9781335609041404,103673.0,2.421857614,1.0
8,0.21939953323642597,0.005535371713669935,0.8528531400632072,101402.0,1.949534859,0.0
9,0.3666260585536289,0.007515443337919313,1.4224755625787937,100464.0,2.211820907,0.0
10,1.3407131413042326,0.15030236055836999,3.9451775052756037,114132.0,2.603597079,1.0
11,3.8910424153462064,1.189307965914509,8.485464435477983,191810.0,4.181058723,4.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.7942099390698831,0.04052949676838316,7.381285341530533,100001.0,1.529761273,0.0
3,1.7542975888772074,0.03946006346203375,7.182091948844163,100001.0,1.313777511,0.0
4,2.028853091659162,0.04586110290272868,8.211672405343808,100001.0,1.482141055,0.0
5,1.5314190676467605,0.02362727305403943,7.64380842594077,100037.0,1.640044102,0.0
6,2.635010949274854,0.044803003538614355,11.720484175929348,100010.0,2.200107135,0.0
7,3.6328811844669033,0.07697838856283225,14.651748010004846,100001.0,2.325977645,0.0
8,4.217791201955583,0.0898775445577347,16.511746127547266,100001.0,1.932454176,0.0
9,4.693680882548112,0.11568054093527835,17.654988269282917,100002.0,2.287277927,0.0
10,4.900033808955893,0.12281182948897097,18.28674919059515,100001.0,2.470015177,0.0
11,4.957279635124625,0.12510839578503155,18.356661428878287,100001.0,2.480220363,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.070004901062206,0.3033217406642034,9.891449649877934,106358.0,1.505322371,1.0
3,3.7911386246447325,0.8538104772133632,9.762709069646245,109868.0,1.524802472,3.0
4,1.2498754565218049,0.13587601011213374,3.7753159733943296,101596.0,1.445314185,1.0
5,1.811370863429443,0.7035606899382646,3.8737117640874223,119662.0,1.932732465,13.0
6,1.1813364276501062,0.5078433769349148,2.1960310114130372,113166.0,1.985747543,10.0
7,0.5068064334683685,0.15954126993887488,1.0782103391719868,105963.0,2.067501193,4.0
8,2.9267198760344755,2.000806563471999,4.099587694082611,191327.0,3.476627508,49.0
9,0.5059169716756547,0.26168873480681054,0.832217894795533,132930.0,2.789122796,11.0
10,2.362126693838018,1.780925897652624,3.0267120419148514,189818.0,3.383907704,61.0
11,1.6070627234006816,1.2092403296739733,2.0571584020126266,179907.0,4.026029209,56.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.088889848168806,0.3145452289782023,9.953344734534685,106269.0,1.536477043,1.0
3,1.2189641461219443,0.027159740468638165,4.96144378349132,100002.0,1.315736486,0.0
4,4.851496738993083,1.3196507797997672,11.599453491127104,115717.0,1.578950553,4.0
5,2.0746350801672615,0.841918415163615,4.313234202406772,123010.0,2.081671692,15.0
6,2.1697407995829874,1.167173285204006,3.6180873763588353,127051.0,2.048502692,25.0
7,1.6264695701730256,1.0136995296939877,2.423083712781294,122084.0,2.53581797,27.0
8,0.47950605791157913,0.2751915797580192,0.7535787472687094,154853.0,2.842354925,17.0
9,5.214652232595469,4.342620271565442,6.176573884441337,362221.0,5.83202022,229.0
10,2.5013381998942346,2.1708520262272324,2.8388895250179607,302349.0,5.540269296,243.0
11,0.9249981942570538,0.7813598585960674,1.0797896893684706,326841.0,5.407479272,146.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,11.202090683156767,4.786607827589923,21.87676547324859,179629.0,1.891860582,14.0
3,3.3218436088271996,1.7352547815058064,5.574868486238456,107867.0,1.956944317,16.0
4,4.971065837443845,3.4617770785046553,6.881627369274803,113858.0,1.568458198,58.0
5,4.2002880782603365,3.487809450187617,5.00850585664402,212544.0,2.648896681,624.0
6,0.693908995952177,0.587266892337193,0.8105655950338134,259611.0,3.896939331,207.0
7,1.3795623008612825,1.2429173482158238,1.52349791909304,254902.0,3.431067447,483.0
8,1.21505679679072,1.1238881157466372,1.3107833144810588,758101.0,10.645785998,845.0
9,10.048811505582544,9.76940036046711,10.325190972278612,2.559864e6,36.571005522,12216.0
10,5.631477976364453,5.55893530414002,5.70455256879944,2.389134e6,35.550284517,28322.0
11,9.22319973317466,9.172369205218851,9.275040738396537,8.197228e6,124.087232109,170629.0
1,NaN,NaN,NaN,0.0,0.0,3.0
2,0.9147359604368234,0.02042072318039281,3.658244188452637,100002.0,1.724087797,0.0
3,2.9674573678786875,0.6823399461332661,7.521474965077003,106599.0,1.514644596,3.0
4,1.6490346578161388,0.3085408601462777,4.321871925834742,102781.0,1.864680529,2.0
5,0.12074123770162894,0.002655359789258265,0.4863380530884592,101924.0,1.924804809,0.0
6,0.8598274105814983,0.22152457890730257,2.128606815741368,107953.0,1.929388196,4.0
7,0.6820829833553567,0.1268687177352803,1.8082952487550286,105107.0,1.960127449,2.0
8,2.1113613029924614,1.0064061481738762,3.84243708891473,147043.0,2.661104962,13.0
9,2.4378627173284513,1.4246514773798362,3.751520335690339,159195.0,3.261509569,20.0
10,1.0523833357610606,0.5505214311524022,1.7106182785374284,128693.0,2.739824523,12.0
11,4.125467289706393,3.149996309662271,5.212553981781372,236323.0,4.192674051,67.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,5.0183525634584925,1.0913360120411386,13.243936022044016,118195.0,1.487256449,3.0
3,3.0577206446782275,0.8437162685541263,7.179334987134307,106824.0,1.580551555,4.0
4,0.4229336584325773,0.010812202695074494,1.624162178394004,100019.0,1.484872015,0.0
5,0.7599701780927329,0.24279623245711915,1.7514341525197534,108743.0,1.897536964,6.0
6,0.6820910757417796,0.19260096370984026,1.561673737555406,106716.0,1.778364049,4.0
7,3.0025575245943505,1.6495191129846103,4.859608623410362,137738.0,2.436769772,20.0
8,0.9636083477784189,0.5302027809609674,1.5399050172878317,134700.0,2.709893365,16.0
9,0.10624044808087436,0.013013873605441722,0.31084227484451293,119348.0,2.548645532,1.0
10,1.118424904989673,0.6272817798253956,1.8041092503077314,134269.0,2.871416231,15.0
11,5.964741832479005,4.708785847937529,7.368284428039284,330283.0,5.76243456,97.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.782361291818209,0.039702453232405815,7.277354937617974,100001.0,1.561971592,0.0
3,1.758650782472044,0.03880741403265026,7.184135292041292,100001.0,1.336811646,0.0
4,2.027765311827907,0.04565721498437005,8.111561849373144,100001.0,1.450736766,0.0
5,1.5305916748019428,0.022288430751608555,7.679812395323101,100036.0,1.572571187,0.0
6,2.6176791073029477,0.04486520104213448,11.500661148916757,100007.0,1.723478497,0.0
7,3.587568616080681,0.07561632896243899,14.483265320302147,100001.0,1.831309843,0.0
8,4.235057076851531,0.09280989259008987,16.445616809830856,100004.0,2.015630244,0.0
9,4.684969329691242,0.11228866902254778,17.569889665516364,100001.0,2.10813715,0.0
10,4.865525372367908,0.12105890895333166,18.07999830917245,100001.0,2.197792696,0.0
11,4.959840599596955,0.12399081277076399,18.472596822097394,100001.0,2.240239057,0.0
