week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.086901581098685,0.07047001321544369,7.924898951395175,2476.0,1.331539281,0.0
3,2.025461881627102,0.07326944046322263,7.322467139611628,2496.0,0.102543588,0.0
4,2.744479693546137,0.05712157847498866,9.612931909086965,1942.0,0.049373512,0.0
5,3.1824194045688436,0.07905850024305126,11.420130992551059,1413.0,0.071508448,0.0
6,4.230053196125767,0.11200453799770718,15.621324895570439,1186.0,0.041183626,0.0
7,4.669228218538086,0.11119118492253376,16.785773094796333,1066.0,0.041362199,0.0
8,4.678722920173494,0.17057225188806105,16.32394505421268,1032.0,0.055096478,0.0
9,4.71772805142276,0.18475908389762288,17.6227336813807,1009.0,0.041634078,0.0
10,4.958085226759034,0.13860208068948612,17.564111973481076,1002.0,0.050023387,0.0
11,5.264573354101414,0.14588469139045476,19.120268182850328,1003.0,0.040381398,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,1.946861645875358,0.0625919868978489,7.75617161091078,2484.0,0.098378447,0.0
3,3.515811674083502,0.45601378161880735,9.626874702076107,5293.0,0.086359211,1.0
4,1.4856674600788828,0.03304476627117123,5.199555440310335,3291.0,0.085450254,0.0
5,6.353482253071342,1.9793384373457943,13.767784330284423,18189.0,0.303930652,4.0
6,0.6469633295018199,0.017521902535733668,2.5910761511353457,7906.0,0.164514822,0.0
7,1.8283741032630432,0.37249724613773383,4.4329590175675975,11882.0,0.202302883,2.0
8,1.1903548804106145,0.12319708338728262,3.4580554243661195,10186.0,0.233647648,1.0
9,1.8323599951572023,0.3710341657145538,4.571677946433051,11435.0,0.282532352,2.0
10,2.2278526332595394,0.5213033966750924,4.961908264190303,13927.0,0.417821929,3.0
11,10.28084086581965,6.826794672999024,14.4427187755431,204459.0,4.69596219,35.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.082422503985181,0.05427169452162561,7.865183852580301,2482.0,0.08613828,0.0
3,1.8572286070609951,0.034759241225927606,7.442197518334761,2531.0,0.055084727,0.0
4,2.527816739973099,0.06304765347586272,9.915734506476815,1895.0,0.07134859,0.0
5,3.2912588281670687,0.10515798206022749,12.664897308323608,1440.0,0.04545844,0.0
6,4.215500738776222,0.10028632194733872,15.879507361535993,1189.0,0.044279683,0.0
7,4.3157370639312,0.11191006578671779,15.321154710826448,1068.0,0.1541526,0.0
8,12.378881097676127,2.8283779865803145,28.156878070744444,393094.0,8.859363214,3.0
9,1.011722076745268,0.028189678174030036,3.393707897811237,5102.0,0.222770098,0.0
10,1.6251107971205765,0.2287292613739756,4.6781764736500735,7965.0,0.197037742,1.0
11,0.943199248708854,0.030450241760832653,3.37534991613025,5382.0,0.517110158,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.919515980107039,0.4086881325914102,11.583178178051638,4926.0,0.143903494,1.0
3,2.3495370730747953,0.32859575158386717,6.4331119431681785,5902.0,0.114249499,1.0
4,1.9669366672839725,0.2502888871882382,5.584059385756741,6993.0,0.11719372,1.0
5,1.8486054159116034,0.23330941524476073,5.052964808824836,7068.0,0.142556169,1.0
6,2.534920551275458,0.5670625421178219,6.015405331636365,9874.0,0.192173564,2.0
7,8.890100629457157,5.168199165785637,13.606584477297826,88846.0,1.809614833,18.0
8,0.1622615423606312,0.005117135074249828,0.6203700204973898,31119.0,0.725426435,0.0
9,5.2466033944437305,0.0,16.997675742117888,845273.0,19.644931397,209.0
10,NaN,0.0,0.0,0.0,0.0,209.0
11,NaN,0.0,0.0,0.0,0.0,282.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.7525777705386734,0.43884295163925807,10.441748302592686,4939.0,0.116350384,1.0
3,1.2696891728020288,0.03857036945956974,4.866508404447765,3699.0,0.158770848,0.0
4,5.465061417916552,1.7506505072378784,11.95633416293397,17187.0,0.245314419,4.0
5,5.321683592119647,2.6293663903077578,8.974651504956304,35657.0,0.932464425,10.0
6,3.671280963948632,2.0776257967070704,5.617598294158472,61442.0,1.229640198,18.0
7,8.134088198342258,6.670938561091536,9.837786744710371,474337.0,9.963592656,110.0
8,0.7223477758159792,0.46989834236404604,1.0134721509130509,247426.0,5.472993476,28.0
9,0.7634477852121448,0.0,5.613106343341683,155314.0,3.7487263,346.0
10,NaN,0.0,0.0,0.0,0.0,1949.0
11,NaN,0.0,0.0,0.0,0.0,1594.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.8467852722119846,0.4178744680078891,10.964782102852153,5068.0,0.120329413,1.0
3,1.248553805656939,0.020891134069176455,4.911746729359869,3808.0,0.071583059,0.0
4,4.636930013734256,1.4213039115883839,10.867451122512215,11717.0,0.202622941,3.0
5,0.7763595843205711,0.014869722779208039,2.8485189090891754,6561.0,0.162505899,0.0
6,4.3942788348441715,1.7714306915505633,8.061550130766319,22378.0,0.408162521,6.0
7,1.1238755720485318,0.2517507685508297,2.8041422577889703,16665.0,0.343317853,2.0
8,0.6564348459459612,0.07592289959445668,1.8922279313899817,16272.0,0.43538366,1.0
9,0.37401183040405944,0.010466632749874064,1.3836897350478483,11572.0,0.267005954,0.0
10,1.8061883640310068,0.3323639147616347,4.4521708781095235,11744.0,0.295831625,2.0
11,0.7053179817157741,0.018902401949904314,2.55253845028217,7178.0,0.220399229,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.8743754846120417,0.44883060942432007,11.480410055435625,4747.0,0.112463265,1.0
3,1.2618683688048817,0.04269074895650722,4.353095322848461,4049.0,0.098931179,0.0
4,5.509461367871836,1.7995157192101023,11.988996986182283,17371.0,0.286110046,4.0
5,8.728319718374749,5.187504619881426,13.27021136748753,89814.0,1.497328581,20.0
6,1.8352240616784088,0.9779156340961347,2.9050526102442515,60255.0,1.550123687,13.0
7,5.1494565885709465,4.0064128187971,6.44970503136632,254657.0,5.461654883,74.0
8,0.2652827422597211,0.11348246278980938,0.48358509175008524,159310.0,3.621642393,7.0
9,2.7443187893077763,0.0,7.203596600014808,409798.0,9.574367093,282.0
10,NaN,0.0,0.0,0.0,0.0,0.0
11,NaN,0.0,0.0,0.0,0.0,973.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.805200609549176,0.40546734551732944,10.75320035054726,5121.0,0.121727486,1.0
3,3.430877435150864,0.7542378302898933,8.648633556095445,8399.0,0.129690227,2.0
4,6.41877655361534,2.9511155587110585,11.25139317800395,39446.0,0.914705577,10.0
5,3.659455139434983,2.1227844767487705,5.655990608609832,54692.0,0.976280382,16.0
6,0.11976326516975595,0.0033345498869372324,0.4326165129152841,40350.0,1.10938548,0.0
7,2.419177948086624,1.4676552663083304,3.605952173999543,78369.0,1.504754626,20.0
8,1.0193337576328216,0.5166488971637363,1.7128813884385263,71106.0,1.616430881,10.0
9,1.747371295607937,1.1109384761503491,2.5747059558590206,98411.0,2.449828154,21.0
10,0.7534455849371602,0.3796377273054109,1.2482585055038973,92840.0,2.499774647,10.0
11,1.0307936356171374,0.5670687667864602,1.6104989689095814,91290.0,2.129571304,14.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.078753059416206,0.059940544636173335,7.516103399373366,2378.0,0.089555472,0.0
3,2.01073621152904,0.06016550454231707,6.96951748325264,2519.0,0.056413222,0.0
4,2.497225288294633,0.07861699730002347,9.73335274659319,1885.0,0.068979588,0.0
5,3.4770269840421153,0.10146875836219646,12.303016804267232,1458.0,0.044387347,0.0
6,4.136561689179388,0.08564939148398674,15.547131190213635,1190.0,0.045340696,0.0
7,4.641829974330431,0.12281458970393239,18.01423001897795,1061.0,0.055861838,0.0
8,4.858201194539709,0.08649983483347477,17.460661245111062,1030.0,0.045271578,0.0
9,4.920095610905495,0.16094764346892068,17.452419280584866,1014.0,0.046178805,0.0
10,5.102762796304902,0.09717434641447147,19.87928423752923,1004.0,0.053879595,0.0
11,4.867670435122639,0.13888412799344396,18.70106608541515,1004.0,0.037377242,0.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,3.7446652633258855,0.4854984535213817,10.662847586847446,4858.0,0.115835607,1.0
3,1.2517525315614793,0.031027598402561307,4.349519362383202,3852.0,0.090790074,0.0
4,1.3646006683849714,0.0371676646078707,5.2231265754136995,3685.0,0.074231728,0.0
5,2.042859386020812,0.05945608147278677,7.5413805010196855,2391.0,0.073434353,0.0
6,13.157751172404959,5.399101140264656,25.77640642197876,112119.0,2.167577848,7.0
7,1.7439054123287603,0.5163578152516175,3.947869043494991,15208.0,0.315692162,3.0
8,2.658938939238145,1.2780210948209982,4.538279083633759,32702.0,1.117667356,9.0
9,6.546148105921148,4.811120868190638,8.630169631779154,176292.0,4.254785713,46.0
10,6.4367387721385585,5.392061818012829,7.522659627296293,545241.0,14.426467392,149.0
11,0.17329573478667962,0.0,0.6685155751996279,103653.0,2.637447499,30.0
