week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.086901581098685,0.07047001321544369,7.924898951395175,2476.0,1.544479815,0.0
3,3.5224844686528582,0.3725499015313964,9.828761227197532,5436.0,0.190788361,1.0
4,1.5555943760376942,0.03926582496330267,5.4660820571607225,3341.0,0.069142135,0.0
5,5.335466611999017,1.311378938208346,11.908678290438036,12845.0,0.258740174,3.0
6,2.191175574671268,0.452232050781728,5.309038001505378,10134.0,0.197750489,2.0
7,4.505480584825419,2.2287968356374837,7.52011736906517,32261.0,0.700886808,9.0
8,0.2411337101811781,0.0057682612791383776,0.9360483636684125,20130.0,0.667684586,0.0
9,3.0168354921963085,1.6374544489100615,4.733107766175806,43694.0,1.433847191,12.0
10,1.6088278333019075,0.762182725260395,2.8110224367077667,44474.0,1.190982789,9.0
11,2.4573679838879126,1.5429332688621802,3.6537755459813552,77023.0,2.542177305,20.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.0668349955564618,0.07017490028970286,8.020802651853854,2493.0,0.23628945,0.0
3,1.944918431411101,0.08010089729213614,6.718488173737032,2629.0,0.056083476,0.0
4,2.6341435184386337,0.06761971991114758,9.223437256287465,1947.0,0.051368165,0.0
5,3.4021377020420154,0.0627594241229466,13.59652661398093,1441.0,0.045141796,0.0
6,8.946946660585452,1.7071914233330463,21.855408696599316,30020.0,0.814333986,2.0
7,3.394048967306661,0.7988436381195656,8.558540209763574,8031.0,0.201592352,2.0
8,2.0193358817951497,0.43552104472450925,4.8249082073668825,10752.0,0.267719815,2.0
9,0.5825035415016622,0.0135750331558377,2.107365069799234,9189.0,0.254707948,0.0
10,0.7148244031229262,0.012467610877742384,2.6720689345051674,7053.0,0.209574932,0.0
11,3.9064111017592884,1.0477529148883058,8.675384927918676,12326.0,0.395519744,3.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.073039071438178,0.0533599572577956,7.383513321078316,2525.0,0.089943036,0.0
3,4.884613180448563,0.8944952876628127,12.0894337558678,8507.0,0.133458849,2.0
4,1.027081552707176,0.024544692588974085,3.691839449030226,4734.0,0.083964513,0.0
5,2.102240038924717,0.2693667242376243,5.708296096112834,6860.0,0.135953589,1.0
6,1.1567185978369363,0.0271653951481203,3.9594514957151077,4568.0,0.088738348,0.0
7,3.6744093464338974,0.7862135259725553,8.942937990642326,8515.0,0.182685302,2.0
8,3.949245358290095,1.2157811541836825,8.823491611769793,14512.0,0.338113731,4.0
9,5.8814537417199295,3.2596394082020628,9.29766998878889,49945.0,1.311594135,15.0
10,2.085551527576399,1.1186588710761303,3.315536672726824,52032.0,1.884567651,13.0
11,2.839285666083177,1.926257813337164,3.9780557993506807,117330.0,2.941912348,31.0
1,NaN,NaN,NaN,0.0,0.0,1.0
2,2.112851803576915,0.047822755470456876,7.506531757626852,2418.0,0.123558947,0.0
3,1.9495801511441793,0.037694226940056835,7.004654041139646,2625.0,0.056850309,0.0
4,5.988058431946383,1.096615942985461,15.20112628996211,10650.0,0.181770152,2.0
5,3.3164622115084272,0.7198584675509744,8.522768200193694,8654.0,0.182437017,2.0
6,1.9758209938563422,0.4888459343560401,4.629484202660783,10697.0,0.187634349,2.0
7,2.8992268524653975,1.1075837361591536,5.905561463704599,20264.0,0.472969569,5.0
