week,meanRt,lowerRt,upperRt,totalIterations,runTime,reportedIncidence
1,NaN,NaN,NaN,0.0,0.0,2.0
2,2.1338112047961446,0.2698049960771985,5.836356577518141,4736.0,1.136538695,1.0
3,2.9755645166784537,0.8866853479663407,6.507094935429988,11502.0,0.173786872,3.0
4,1.9776703486078506,0.5827340051267137,4.307268388813206,11465.0,0.182807592,3.0
5,0.781819892690406,0.10098709096688958,2.1751849343160585,8717.0,0.162443197,1.0
6,3.998538765541609,2.0175563388579665,6.88323124843957,37751.0,0.509346684,10.0
7,0.4491969116993149,0.055456609566846,1.2193199207243923,14479.0,0.287952853,1.0
8,0.2325071376023867,0.005304780649743145,0.8347456136270153,13116.0,0.272484394,0.0
9,0.690102635692904,0.09027413473223118,1.9831947762791564,9854.0,0.224631652,1.0
10,1.0225647984331365,0.1221564771448391,2.8034673884002084,7278.0,0.180741604,1.0
11,1.8905484696215185,0.40894524912603153,4.747609548021394,8152.0,0.199450811,2.0
